"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.740314364E-1,2.639580369E-1,-8.143677711E-1,8.735878049E-1
1.932909900E-2,-4.242889285E-1,1.573520899E-1,2.611749768E-1,5.224874578E-1
3.863197700E-2,-4.538134634E-1,6.513764709E-2,2.653673291E-1,5.297257706E-1
5.796264200E-2,-4.660860300E-1,3.891006857E-2,2.375081331E-1,5.245572362E-1
7.726375800E-2,-9.725604653E-1,1.746425331E-1,2.557431459E-1,1.020675477E0
9.659505400E-2,-9.695320129E-1,1.608911157E-1,7.791630179E-2,9.858748528E-1
1.159523980E-1,-9.287885427E-1,1.466140449E-1,3.503431976E-1,1.003436192E0
1.352710260E-1,-5.919104815E-1,4.847900569E-2,2.894598246E-1,6.606778505E-1
1.546141640E-1,-9.129217863E-1,1.629991382E-1,3.088877499E-1,9.774490007E-1
1.739216680E-1,-1.077291369E0,7.038863748E-2,-1.618205905E-1,1.091648826E0
1.931708480E-1,-1.078042507E0,6.899182498E-2,-1.616302282E-1,1.092272791E0
2.125101120E-1,-9.690803885E-1,8.886742289E-4,5.738685727E-1,1.126251627E0
2.318521760E-1,-8.682500124E-1,2.673230469E-1,6.102387905E-1,1.094399871E0
2.511684640E-1,-9.862073660E-1,1.759712547E-1,-1.666630507E-1,1.015552768E0
2.705101920E-1,-9.263444543E-1,2.920489013E-2,3.554807603E-1,9.926396852E-1
2.898264800E-1,-1.013960481E0,1.594567746E-1,1.194515452E-1,1.033349404E0
3.091427680E-1,-9.535858035E-1,5.644266307E-2,1.920365989E-1,9.743663142E-1
3.284732320E-1,-9.534605145E-1,4.076705873E-1,6.071130279E-3,1.036975949E0
3.478157920E-1,-9.017719030E-1,3.247574568E-1,1.602652073E-1,9.717741031E-1
3.671330080E-1,-8.180604577E-1,2.024566680E-1,3.637632132E-1,9.178972111E-1
3.864502240E-1,-8.031378388E-1,3.379576802E-1,2.513903379E-1,9.068863676E-1
4.057928480E-1,-7.013714314E-1,2.905017138E-1,2.157391757E-1,7.892125964E-1
4.251100640E-1,-6.011291742E-1,2.685874403E-1,1.431790739E-1,6.737920632E-1
4.444526880E-1,-4.910553396E-1,2.601588368E-1,3.131748736E-2,5.565956808E-1
4.637699040E-1,-4.368642867E-1,2.159434706E-1,-5.997475237E-2,4.909979209E-1
4.831182490E-1,-3.408416212E-1,1.628758460E-1,2.876467109E-1,4.748075212E-1
5.024608730E-1,-1.800371110E-1,1.238253936E-1,7.995760441E-1,8.288956145E-1
5.217743130E-1,-1.873990744E-1,1.071553230E-1,7.376726270E-1,7.686101619E-1
5.410913050E-1,-1.789150238E-1,1.290027797E-1,4.413095713E-1,4.933623826E-1
5.604337050E-1,-1.809214205E-1,1.180809215E-1,2.264149934E-1,3.129527339E-1
5.797508250E-1,-1.831838638E-1,7.128030807E-2,9.363656491E-2,2.177269312E-1
5.990678810E-1,-2.044371963E-1,6.519840658E-2,5.749658868E-2,2.221514284E-1
6.184047770E-1,-2.569618523E-1,5.301821977E-2,1.448766440E-1,2.997158106E-1
6.377215770E-1,1.217439100E-1,1.935944557E-1,-5.814867616E-1,6.248417774E-1
6.570384410E-1,3.164654672E-1,1.833548546E-1,-1.374179602E0,1.422019329E0
6.763806490E-1,1.573617578E0,-2.758451402E-1,1.656047630E1,1.663735971E1
6.956975130E-1,4.362917900E0,-7.542912364E-1,1.625989914E1,1.685195324E1
7.150144410E-1,1.993623376E0,-4.359762073E-1,-8.795805931E0,9.029441367E0
7.343587610E-1,2.228720665E0,-5.744629502E-1,-8.786517143E0,9.082955851E0
7.536756890E-1,-2.157328367E0,1.929508448E0,-3.340877914E1,3.353391705E1
7.729926170E-1,2.923987865E0,-1.133033752E0,1.090546036E1,1.134735811E1
7.923348890E-1,9.273269176E-1,-4.810160100E-1,1.725605965E1,1.728765184E1
8.116698580E-1,1.134939671E0,1.133789420E0,9.100296021E0,9.240614382E0
8.310084660E-1,7.307764292E-1,-4.951233566E-1,1.030807400E1,1.034579967E1
8.503252660E-1,4.681194723E-1,-5.860037208E-1,-4.888212681E0,4.945418022E0
8.696487400E-1,-1.671443820E0,-1.143408865E-1,-2.114389992E1,2.121016978E1
8.889908840E-1,-3.990232944E-1,3.263715208E-1,-1.709067726E1,1.709844985E1
9.083022580E-1,1.571801305E0,3.080946207E-1,-7.843828797E-1,1.783462402E0
9.276172020E-1,2.464662313E0,-1.073706388E0,2.204780388E1,2.221110222E1
9.469624160E-1,2.170810699E0,-2.806808352E-1,1.748193741E1,1.761843740E1
9.662813510E-1,1.798773885E0,8.076547980E-1,1.479366422E0,2.465039304E0
9.855932870E-1,1.171193570E-1,-3.765729666E-1,-5.297468662E0,5.312127481E0
1.004943191E0,-1.269924998E0,-4.670381919E-2,-1.672128296E1,1.676950192E1
1.024246738E0,-9.713535309E-1,5.573595762E-1,-1.620718575E1,1.624583169E1
1.043569689E0,1.526844144E0,3.155557811E-1,2.398724109E-1,1.577455947E0
1.062831646E0,2.068965197E0,-8.993178010E-1,2.061238670E1,2.073547383E1
1.082148126E0,2.138618946E0,-2.856693566E-1,1.574997520E1,1.589707573E1
1.101464606E0,1.862818241E0,6.906948090E-1,1.263539910E0,2.354502967E0
1.120805534E0,2.105536908E-1,-3.102641404E-1,-6.114521027E0,6.126007189E0
