t,theta
1.466933333E0,7.171112664E0
1.501855556E0,7.267060151E0
1.536777778E0,7.317047273E0
1.571711111E0,7.355642136E0
1.606633333E0,7.286676245E0
1.641566667E0,6.935617559E0
1.676488889E0,6.487505131E0
1.711411111E0,5.813589595E0
1.746344444E0,5.149240784E0
1.781266667E0,4.311741374E0
1.816200000E0,3.480765016E0
1.851122222E0,2.462563430E0
1.886044444E0,1.478315493E0
1.920977778E0,3.947685554E-1
1.955900000E0,-6.210114296E-1
1.990833333E0,-1.790602644E0
2.025755556E0,-2.822672606E0
2.060677778E0,-3.990918388E0
2.095611111E0,-4.968793483E0
2.130533333E0,-5.927525208E0
2.165466667E0,-6.751820496E0
2.200388889E0,-7.586045293E0
2.235322222E0,-8.207690967E0
2.270244444E0,-8.586504671E0
2.305166667E0,-9.115840181E0
2.340100000E0,-9.492238314E0
2.375022222E0,-9.489768171E0
2.409955556E0,-9.373002553E0
2.444877778E0,-9.098461442E0
2.479800000E0,-8.519765097E0
2.514733333E0,-8.011980689E0
2.549655556E0,-7.348502848E0
2.584588889E0,-6.551888154E0
2.619511111E0,-5.627012905E0
2.654433333E0,-4.693749181E0
2.689366667E0,-3.701531690E0
2.724288889E0,-2.696810601E0
2.759222222E0,-1.708977040E0
2.794144444E0,-6.503607451E-1
2.829066667E0,3.344442523E-1
2.864000000E0,1.450429235E0
2.898922222E0,2.334253289E0
2.933855556E0,3.159684952E0
2.968777778E0,4.091045951E0
3.003711111E0,4.785249195E0
3.038633333E0,5.328151625E0
3.073555556E0,5.946830282E0
3.108488889E0,6.366169491E0
3.143411111E0,6.516786368E0
3.178344444E0,6.668345194E0
3.213266667E0,6.709905878E0
3.248188889E0,6.469359090E0
3.283122222E0,6.094454909E0
3.318044444E0,5.751359089E0
3.352977778E0,5.078076392E0
3.387900000E0,4.473354409E0
3.422822222E0,3.718923230E0
3.457755556E0,2.874977337E0
3.492677778E0,9.206333795E-1
3.527611111E0,-1.029909576E-1
3.562533333E0,-1.097841742E0
3.597455556E0,-2.115344855E0
3.632388889E0,-3.179553028E0
3.667311111E0,-4.091673131E0
3.702244444E0,-5.045413612E0
3.737166667E0,-5.913165275E0
3.772100000E0,-6.668692723E0
3.807022222E0,-7.401828435E0
3.841944444E0,-8.099773391E0
3.876877778E0,-8.561891937E0
3.911800000E0,-8.899855196E0
3.946733333E0,-9.191615493E0
3.981655556E0,-9.189930029E0
4.016577778E0,-9.160889925E0
4.051511111E0,-9.091173204E0
4.086433333E0,-8.830880713E0
4.121366667E0,-8.456366073E0
4.156288889E0,-7.861898892E0
4.191211111E0,-7.217452015E0
4.226144444E0,-6.526725386E0
4.261066667E0,-5.641738623E0
4.296000000E0,-4.697351990E0
4.330922222E0,-3.844816143E0
4.365844444E0,-2.928084237E0
4.400777778E0,-2.033047432E0
4.435700000E0,-9.952555276E-1
4.470633333E0,-7.911176062E-2
4.505555556E0,8.446464564E-1
4.540488889E0,1.767822757E0
4.575411111E0,2.685004813E0
4.610333333E0,3.409015060E0
4.645266667E0,4.313167688E0
4.680188889E0,5.348761418E0
4.715122222E0,5.672331488E0
4.750044444E0,5.982875285E0
4.784966667E0,6.005950568E0
4.819900000E0,6.021026011E0
4.854822222E0,6.026027998E0
4.889755556E0,5.696554536E0
4.924677778E0,5.271212039E0
4.959600000E0,4.717766168E0
4.994533333E0,4.118616811E0
5.029455556E0,3.444142213E0
5.064388889E0,2.577304611E0
5.099311111E0,1.742259940E0
5.134244444E0,8.425677491E-1
5.169166667E0,-1.137688061E-1
5.204088889E0,-1.088346646E0
5.239022222E0,-2.049102088E0
5.273944444E0,-3.014751518E0
5.308877778E0,-4.005248414E0
5.343800000E0,-4.914786892E0
5.378722222E0,-5.720687813E0
5.413655556E0,-6.484093871E0
5.448577778E0,-7.195985058E0
5.483511111E0,-7.776548658E0
5.518433333E0,-8.199543910E0
5.553355556E0,-8.531010549E0
5.588288889E0,-8.828319235E0
5.623211111E0,-8.833123834E0
5.658144444E0,-8.821888954E0
5.693066667E0,-8.812869539E0
5.727988889E0,-8.521611268E0
5.762922222E0,-7.950830491E0
5.797844444E0,-7.493395251E0
5.832777778E0,-6.220378081E0
5.867700000E0,-5.498369065E0
5.902633333E0,-4.635078008E0
5.937555556E0,-3.715441093E0
5.972477778E0,-2.878838006E0
6.007411111E0,-2.059988871E0
6.042333333E0,-1.128614143E0
6.077266667E0,-1.127013600E-1
6.112188889E0,8.021593564E-1
6.147111111E0,1.499751556E0
6.182044444E0,2.430193145E0
6.216966667E0,3.083871648E0
6.251900000E0,3.729670637E0
6.286822222E0,4.382476348E0
6.321744444E0,4.670481047E0
6.356677778E0,5.021290104E0
6.391600000E0,5.335739734E0
6.426533333E0,5.334309903E0
6.461455556E0,5.270823480E0
6.496377778E0,5.205112729E0
6.531311111E0,5.034054032E0
6.566233333E0,4.618368136E0
6.601166667E0,4.063678768E0
6.636088889E0,3.636794476E0
6.671022222E0,3.046136521E0
6.705944444E0,2.099182937E0
6.740866667E0,1.350969414E0
6.775800000E0,7.378605688E-1
6.810722222E0,-2.592948947E-1
6.845655556E0,-1.218406318E0
6.880577778E0,-2.079524191E0
6.915500000E0,-2.832719460E0
6.950433333E0,-3.748316712E0
6.985355556E0,-5.298147828E0
7.020288889E0,-5.940868622E0
7.055211111E0,-6.619391229E0
7.090133333E0,-7.216652591E0
7.125066667E0,-7.543714882E0
7.159988889E0,-7.864455071E0
7.194922222E0,-8.135194412E0
7.229844444E0,-8.154868983E0
7.264766667E0,-8.165481626E0
7.299700000E0,-7.937944087E0
7.334622222E0,-7.836539671E0
