
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	-0.017			-4.1667E-4			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.010	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.010	0.000	-0.873		0.0000	-0.021		0.005	0.000	0.000		0.0000	0.000		0.020	0.000	0.000		0.0000	0.000		0.004	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.001	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.010	-0.017	-0.873		-4.1667E-4	-0.021		0.010	0.000	0.000		0.0000	0.000		0.010	0.017	0.873		4.1667E-4	0.021		0.010	0.000	0.873		0.0000	0.021		0.010	0.000	0.873		0.0000	0.021		0.010	0.017	0.873		4.1667E-4	0.021		0.010	0.000	0.000		0.0000	0.000	
0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	0.010	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	0.000	0.000	10.908	0.0000	0.000	0.260	0.008	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.002	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	-0.035	-0.873	-1.110E-14	-8.3333E-4	-0.021	3.469E-16	0.020	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	0.020	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	0.020	0.017	0.873	0.000	4.1667E-4	0.021	0.000	0.020	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	0.020	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.020	0.000	0.873	43.633	0.0000	0.021	1.042
0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	0.015	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	0.000	0.436	10.908	0.0000	0.010	0.260	0.012	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.003	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	-0.035	-0.873	1.110E-14	-8.3333E-4	-0.021	6.939E-16	0.030	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	0.030	0.017	0.000	43.633	4.1667E-4	0.000	1.042	0.030	0.017	0.873	-1.665E-14	4.1667E-4	0.021	-3.469E-16	0.030	0.017	0.000	-1.665E-14	4.1667E-4	0.000	-3.469E-16	0.030	0.017	0.873	43.633	4.1667E-4	0.021	1.042	0.030	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042
0.040	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	0.000	0.000	43.633	0.0000	0.000	1.042	0.040	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	0.017	0.436	-10.908	4.1667E-4	0.010	-0.260	0.016	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	0.000	0.000	43.633	0.0000	0.000	1.042	0.004	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	0.000	0.000	43.633	0.0000	0.000	1.042	0.040	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	-0.052	-0.873	43.633	-0.0012	-0.021	1.042	0.040	-0.017	0.000	-1.110E-14	-4.1667E-4	0.000	-1.735E-16	0.040	0.017	0.873	43.633	4.1667E-4	0.021	1.042	0.040	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	0.040	0.017	0.873	43.633	4.1667E-4	0.021	1.042	0.040	0.035	0.873	1.665E-14	8.3333E-4	0.021	-1.735E-16	0.040	0.017	0.000	1.110E-14	4.1667E-4	0.000	1.735E-16
0.050	0.000	0.000	0.000	0.0000	0.000	0.000	0.050	0.000	0.873	43.633	0.0000	0.021	1.042	0.050	0.000	0.000	0.000	0.0000	0.000	0.000	0.050	0.000	0.000	-43.633	0.0000	0.000	-1.042	0.050	0.000	0.000	0.000	0.0000	0.000	0.000	0.050	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	0.025	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.017	0.000	-10.908	4.1667E-4	0.000	-0.260	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.050	0.000	0.873	43.633	0.0000	0.021	1.042	0.005	0.000	0.000	0.000	0.0000	0.000	0.000	0.050	0.000	0.873	43.633	0.0000	0.021	1.042	0.050	0.000	0.000	0.000	0.0000	0.000	0.000	0.050	-0.052	0.000	1.665E-14	-0.0012	0.000	-5.204E-16	0.050	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042	0.050	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	0.050	0.035	0.000	5.551E-15	8.3333E-4	0.000	-3.469E-16	0.050	0.035	0.873	5.551E-15	8.3333E-4	0.021	-3.469E-16	0.050	0.035	0.873	5.551E-15	8.3333E-4	0.021	-3.469E-16	0.050	0.017	0.873	43.633	4.1667E-4	0.021	1.042
0.060	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	0.060	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	0.060	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.120	0.017	0.000	10.908	4.1667E-4	0.000	0.260	0.024	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	0.006	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	0.060	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	-0.052	-0.873	-43.633	-0.0012	-0.021	-1.042	0.060	-0.035	-0.873	43.633	-8.3333E-4	-0.021	1.042	0.060	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	0.060	0.035	0.873	43.633	8.3333E-4	0.021	1.042	0.060	0.035	0.873	-1.110E-14	8.3333E-4	0.021	-6.939E-16	0.060	0.052	0.873	-3.331E-14	0.0012	0.021	1.735E-16	0.060	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042
0.070	0.000	0.000	0.000	0.0000	0.000	0.000	0.070	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	0.070	0.000	0.000	0.000	0.0000	0.000	0.000	0.070	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	0.070	0.000	0.000	0.000	0.0000	0.000	0.000	0.070	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	0.035	0.000	0.000	0.000	0.0000	0.000	0.000	0.140	0.017	0.436	10.908	4.1667E-4	0.010	0.260	0.028	0.000	0.000	0.000	0.0000	0.000	0.000	0.070	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	0.007	0.000	0.000	0.000	0.0000	0.000	0.000	0.070	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	0.070	0.000	0.000	0.000	0.0000	0.000	0.000	0.070	-0.070	-0.873	-3.331E-14	-0.0017	-0.021	-8.674E-16	0.070	-0.035	0.000	-3.886E-14	-8.3333E-4	0.000	-3.469E-16	0.070	0.035	0.000	0.000	8.3333E-4	0.000	0.000	0.070	0.052	0.873	1.665E-14	0.0012	0.021	1.388E-15	0.070	0.052	0.873	1.665E-14	0.0012	0.021	1.388E-15	0.070	0.052	0.873	1.665E-14	0.0012	0.021	1.388E-15	0.070	0.035	0.000	3.886E-14	8.3333E-4	0.000	3.469E-16
0.080	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.080	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	0.080	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	0.040	0.000	0.000	0.000	0.0000	0.000	0.000	0.160	0.035	0.436	-10.908	8.3333E-4	0.010	-0.260	0.032	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.008	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.080	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	-0.070	-0.873	0.000	-0.0017	-0.021	0.000	0.080	-0.035	-0.873	-43.633	-8.3333E-4	-0.021	-1.042	0.080	0.035	0.000	43.633	8.3333E-4	0.000	1.042	0.080	0.052	0.873	-1.665E-14	0.0012	0.021	5.204E-16	0.080	0.052	0.873	-1.665E-14	0.0012	0.021	5.204E-16	0.080	0.070	0.873	0.000	0.0017	0.021	0.000	0.080	0.035	0.873	43.633	8.3333E-4	0.021	1.042
0.090	0.000	0.000	0.000	0.0000	0.000	0.000	0.090	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.090	0.000	0.000	0.000	0.0000	0.000	0.000	0.090	-0.017	0.000	0.000	-4.1667E-4	0.000	0.000	0.090	0.000	0.000	0.000	0.0000	0.000	0.000	0.090	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042	0.045	0.000	0.000	0.000	0.0000	0.000	0.000	0.180	0.035	0.000	-10.908	8.3333E-4	0.000	-0.260	0.036	0.000	0.000	0.000	0.0000	0.000	0.000	0.090	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.009	0.000	0.000	0.000	0.0000	0.000	0.000	0.090	0.017	0.000	0.000	4.1667E-4	0.000	0.000	0.090	0.000	0.000	0.000	0.0000	0.000	0.000	0.090	-0.087	-0.873	0.000	-0.0021	-0.021	1.908E-15	0.090	-0.052	-0.873	4.996E-14	-0.0012	-0.021	1.735E-16	0.090	0.035	0.873	43.633	8.3333E-4	0.021	1.042	0.090	0.070	0.873	-3.331E-14	0.0017	0.021	-8.674E-16	0.090	0.070	0.873	-3.331E-14	0.0017	0.021	-8.674E-16	0.090	0.070	0.873	-3.331E-14	0.0017	0.021	-8.674E-16	0.090	0.052	0.873	-4.996E-14	0.0012	0.021	-1.735E-16
