
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.010	0.000	0.000		0.0000	0.000		0.010	0.000	0.000		0.0000	0.000		0.002	0.000	0.000		0.0000	0.000		0.100	0.000	0.000		0.0000	0.000		0.100	0.000	0.000		0.0000	0.000	
0.020	0.000	0.000	0.000	0.0000	0.000	0.000	0.020	0.000	-0.873	-43.633	0.0000	-0.021	-1.042	0.004	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	-0.436	0.0000	0.000	-0.010	0.200	0.000	0.000	-0.873	0.0000	0.000	-0.021
0.030	0.000	0.000	0.000	0.0000	0.000	0.000	0.030	-0.017	-0.873	43.633	-4.1667E-4	-0.021	1.042	0.006	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	-0.087	-1.309	0.0000	-0.002	-0.031	0.300	0.000	-0.175	-2.182	0.0000	-0.004	-0.052
0.040	0.000	0.000	0.000	0.0000	0.000	0.000	0.040	-0.017	0.000	43.633	-4.1667E-4	0.000	1.042	0.008	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	-0.017	-0.262	-2.618	-4.1667E-4	-0.006	-0.062	0.400	-0.035	-0.436	-3.054	-8.3333E-4	-0.010	-0.073
0.050	0.000	0.000	0.000	0.0000	0.000	0.000	0.050	-0.017	0.000	-43.633	-4.1667E-4	0.000	-1.042	0.010	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	-0.052	-0.611	-3.491	-0.0012	-0.015	-0.083	0.500	-0.087	-0.785	-2.618	-0.0021	-0.019	-0.062
0.060	0.000	0.000	0.000	0.0000	0.000	0.000	0.060	-0.017	-0.873	-43.633	-4.1667E-4	-0.021	-1.042	0.012	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	-0.140	-0.960	-2.182	-0.0033	-0.023	-0.052	0.600	-0.192	-0.960	-0.873	-0.0046	-0.023	-0.021
0.070	0.000	0.000	0.000	0.0000	0.000	0.000	0.070	-0.035	-0.873	43.633	-8.3333E-4	-0.021	1.042	0.014	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	-0.244	-1.047	-1.665E-15	-0.0058	-0.025	-6.939E-17	0.700	-0.279	-0.960	0.436	-0.0067	-0.023	0.010
0.080	0.000	0.000	0.000	0.0000	0.000	0.000	0.080	-0.035	0.000	43.633	-8.3333E-4	0.000	1.042	0.016	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	-0.349	-0.960	1.309	-0.0083	-0.023	0.031	0.800	-0.384	-0.873	1.745	-0.0092	-0.021	0.042
0.090	0.000	0.000	0.000	0.0000	0.000	0.000	0.090	-0.035	0.000	0.000	-8.3333E-4	0.000	0.000	0.018	0.000	0.000	0.000	0.0000	0.000	0.000	0.900	-0.436	-0.785	2.182	-0.0104	-0.019	0.052	0.900	-0.454	-0.611	3.054	-0.0108	-0.015	0.073
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.035	0.000	-43.633	-8.3333E-4	0.000	-1.042	0.020	0.000	0.000	0.000	0.0000	0.000	0.000	1.000	-0.506	-0.524	3.054	-0.0121	-0.013	0.073	1.000	-0.506	-0.262	3.927	-0.0121	-0.006	0.094
0.110	0.000	0.000	0.000	0.0000	0.000	0.000	0.110	-0.035	-0.873	-43.633	-8.3333E-4	-0.021	-1.042	0.022	0.000	0.000	0.000	0.0000	0.000	0.000	1.100	-0.541	-0.175	3.927	-0.0129	-0.004	0.094	1.100	-0.506	0.175	3.927	-0.0121	0.004	0.094
0.120	0.000	0.000	0.000	0.0000	0.000	0.000	0.120	-0.052	-0.873	43.633	-0.0012	-0.021	1.042	0.024	0.000	0.000	0.000	0.0000	0.000	0.000	1.200	-0.541	0.262	4.363	-0.0129	0.006	0.104	1.200	-0.471	0.524	3.054	-0.0112	0.013	0.073
0.130	0.000	0.000	0.000	0.0000	0.000	0.000	0.130	-0.052	0.000	43.633	-0.0012	0.000	1.042	0.026	0.000	0.000	0.000	0.0000	0.000	0.000	1.300	-0.489	0.698	3.054	-0.0117	0.017	0.073	1.300	-0.401	0.785	1.745	-0.0096	0.019	0.042
0.140	0.000	0.000	0.000	0.0000	0.000	0.000	0.140	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.028	0.000	0.000	0.000	0.0000	0.000	0.000	1.400	-0.401	0.873	1.309	-0.0096	0.021	0.031	1.400	-0.314	0.873	0.873	-0.0075	0.021	0.021
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	-0.052	0.000	0.000	-0.0012	0.000	0.000	0.030	0.000	0.000	0.000	0.0000	0.000	0.000	1.500	-0.314	0.960	0.873	-0.0075	0.023	0.021	1.500	-0.227	0.960	-5.551E-15	-0.0054	0.023	-1.388E-16
0.160	0.000	0.000	0.000	0.0000	0.000	0.000	0.160	-0.052	0.000	-43.633	-0.0012	0.000	-1.042	0.032	0.000	0.000	0.000	0.0000	0.000	0.000	1.600	-0.209	1.047	-0.873	-0.0050	0.025	-0.021	1.600	-0.122	0.873	-2.182	-0.0029	0.021	-0.052
0.170	0.000	0.000	0.000	0.0000	0.000	0.000	0.170	-0.052	-0.873	-43.633	-0.0012	-0.021	-1.042	0.034	0.000	0.000	0.000	0.0000	0.000	0.000	1.700	-0.105	0.785	-3.054	-0.0025	0.019	-0.073	1.700	-0.052	0.524	-3.491	-0.0012	0.013	-0.083
0.180	0.000	0.000	0.000	0.0000	0.000	0.000	0.180	-0.070	-0.873	43.633	-0.0017	-0.021	1.042	0.036	0.000	0.000	0.000	0.0000	0.000	0.000	1.800	-0.052	0.436	-3.054	-0.0012	0.010	-0.073	1.800	-0.017	0.175	-3.054	-4.1667E-4	0.004	-0.073
0.190	0.000	0.000	0.000	0.0000	0.000	0.000	0.190	-0.070	0.000	43.633	-0.0017	0.000	1.042	0.038	0.000	0.000	0.000	0.0000	0.000	0.000	1.900	-0.017	0.175	-3.491	-4.1667E-4	0.004	-0.083	1.900	-0.017	-0.087	-3.054	-4.1667E-4	-0.002	-0.073
0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.040	0.000	0.000	0.000	0.0000	0.000	0.000	2.000	-0.017	-0.262	-3.927	-4.1667E-4	-0.006	-0.094	2.000	-0.035	-0.436	-3.491	-8.3333E-4	-0.010	-0.083
0.210	0.000	0.000	0.000	0.0000	0.000	0.000	0.210	-0.070	0.000	0.000	-0.0017	0.000	0.000	0.042	0.000	0.000	0.000	0.0000	0.000	0.000	2.100	-0.070	-0.611	-3.054	-0.0017	-0.015	-0.073	2.100	-0.105	-0.785	-2.182	-0.0025	-0.019	-0.052
