X,CH1
0,0.00E+0
1,-2.40E-2
2,0.00E+0
3,-2.40E-2
4,0.00E+0
5,-2.40E-2
6,0.00E+0
7,-3.20E-2
8,-2.40E-2
9,0.00E+0
10,-2.40E-2
11,0.00E+0
12,0.00E+0
13,-3.20E-2
14,-2.40E-2
15,0.00E+0
16,-2.40E-2
17,0.00E+0
18,0.00E+0
19,-3.20E-2
20,0.00E+0
21,-3.20E-2
22,-2.40E-2
23,0.00E+0
24,-2.40E-2
25,0.00E+0
26,-2.40E-2
27,0.00E+0
28,0.00E+0
29,-3.20E-2
30,0.00E+0
31,-3.20E-2
32,0.00E+0
33,-3.20E-2
34,-2.40E-2
35,0.00E+0
36,0.00E+0
37,-3.20E-2
38,-2.40E-2
39,0.00E+0
40,0.00E+0
41,-3.20E-2
42,-2.40E-2
43,0.00E+0
44,0.00E+0
45,-3.20E-2
46,-2.40E-2
47,0.00E+0
48,0.00E+0
49,-3.20E-2
50,-2.40E-2
51,0.00E+0
52,0.00E+0
53,-3.20E-2
54,-2.40E-2
55,0.00E+0
56,0.00E+0
57,-3.20E-2
58,0.00E+0
59,-3.20E-2
60,-2.40E-2
61,0.00E+0
62,-2.40E-2
63,0.00E+0
64,-3.20E-2
65,0.00E+0
66,0.00E+0
67,-3.20E-2
68,0.00E+0
69,-3.20E-2
70,0.00E+0
71,-3.20E-2
72,-2.40E-2
73,0.00E+0
74,-3.20E-2
75,0.00E+0
76,-2.40E-2
77,0.00E+0
78,0.00E+0
79,-3.20E-2
80,0.00E+0
81,-3.20E-2
82,0.00E+0
83,-3.20E-2
84,0.00E+0
85,-3.20E-2
86,0.00E+0
87,-3.20E-2
88,0.00E+0
89,-3.20E-2
90,0.00E+0
91,-3.20E-2
92,-2.40E-2
93,0.00E+0
94,-3.20E-2
95,0.00E+0
96,-2.40E-2
97,0.00E+0
98,-2.40E-2
99,0.00E+0
100,-2.40E-2
101,0.00E+0
102,0.00E+0
103,-3.20E-2
104,-2.40E-2
105,0.00E+0
106,0.00E+0
107,-3.20E-2
108,-2.40E-2
109,0.00E+0
110,0.00E+0
111,-3.20E-2
112,-2.40E-2
113,0.00E+0
114,0.00E+0
115,-3.20E-2
116,-2.40E-2
117,0.00E+0
118,-2.40E-2
119,0.00E+0
120,-2.40E-2
121,0.00E+0
122,-2.40E-2
123,0.00E+0
124,0.00E+0
125,-3.20E-2
126,0.00E+0
127,-3.20E-2
128,0.00E+0
129,-3.20E-2
130,-2.40E-2
131,0.00E+0
132,0.00E+0
133,-3.20E-2
134,-2.40E-2
135,0.00E+0
136,-3.20E-2
137,0.00E+0
138,-2.40E-2
139,0.00E+0
140,-3.20E-2
141,0.00E+0
142,-2.40E-2
143,0.00E+0
144,0.00E+0
145,-3.20E-2
146,-2.40E-2
147,0.00E+0
148,0.00E+0
149,-3.20E-2
150,-2.40E-2
151,0.00E+0
152,0.00E+0
153,-3.20E-2
154,0.00E+0
155,-2.40E-2
156,0.00E+0
157,-3.20E-2
158,-2.40E-2
159,0.00E+0
160,-2.40E-2
161,0.00E+0
162,-2.40E-2
163,0.00E+0
164,0.00E+0
165,-3.20E-2
166,0.00E+0
167,-3.20E-2
168,-2.40E-2
169,0.00E+0
170,0.00E+0
171,-3.20E-2
172,-2.40E-2
173,0.00E+0
174,-2.40E-2
175,0.00E+0
176,-2.40E-2
177,0.00E+0
178,-2.40E-2
179,0.00E+0
180,-2.40E-2
181,0.00E+0
182,-2.40E-2
183,0.00E+0
184,-2.40E-2
185,0.00E+0
186,-2.40E-2
187,0.00E+0
188,0.00E+0
189,-3.20E-2
190,-2.40E-2
191,0.00E+0
192,0.00E+0
193,-3.20E-2
194,0.00E+0
195,-3.20E-2
196,-2.40E-2
197,0.00E+0
198,0.00E+0
199,-3.20E-2
200,-2.40E-2
201,0.00E+0
202,0.00E+0
203,-3.20E-2
204,-2.40E-2
205,0.00E+0
206,-2.40E-2
207,0.00E+0
208,-2.40E-2
209,0.00E+0
210,-2.40E-2
211,0.00E+0
212,-2.40E-2
213,0.00E+0
214,-2.40E-2
215,0.00E+0
216,-2.40E-2
217,0.00E+0
218,-2.40E-2
219,0.00E+0
220,-2.40E-2
221,0.00E+0
222,-2.40E-2
223,0.00E+0
224,-2.40E-2
225,0.00E+0
226,0.00E+0
227,-3.20E-2
228,0.00E+0
229,-3.20E-2
230,-2.40E-2
231,0.00E+0
232,-2.40E-2
233,0.00E+0
234,-2.40E-2
235,0.00E+0
236,0.00E+0
237,-3.20E-2
238,-2.40E-2
239,0.00E+0
240,0.00E+0
241,-3.20E-2
242,0.00E+0
243,-3.20E-2
244,0.00E+0
245,-3.20E-2
246,-2.40E-2
247,0.00E+0
248,0.00E+0
249,-3.20E-2
250,0.00E+0
251,-3.20E-2
252,-2.40E-2
253,0.00E+0
254,0.00E+0
255,-3.20E-2
256,-2.40E-2
257,0.00E+0
258,-2.40E-2
259,0.00E+0
260,-2.40E-2
261,0.00E+0
262,-2.40E-2
263,0.00E+0
264,-2.40E-2
265,0.00E+0
266,-2.40E-2
267,0.00E+0
268,-2.40E-2
269,0.00E+0
270,0.00E+0
271,-3.20E-2
272,-3.20E-2
273,0.00E+0
274,0.00E+0
275,-3.20E-2
276,-2.40E-2
277,0.00E+0
278,-2.40E-2
279,0.00E+0
280,0.00E+0
281,-3.20E-2
282,-2.40E-2
283,0.00E+0
284,-2.40E-2
285,0.00E+0
286,0.00E+0
287,-3.20E-2
288,0.00E+0
289,-3.20E-2
290,-3.20E-2
291,8.00E-3
292,-3.20E-2
293,8.00E-3
294,-3.20E-2
295,0.00E+0
296,-3.20E-2
297,8.00E-3
298,-2.40E-2
299,8.00E-3
300,-2.40E-2
301,1.60E-2
302,1.60E-2
303,-2.40E-2
304,-1.60E-2
305,2.40E-2
306,-8.00E-3
307,2.40E-2
308,2.40E-2
309,-1.60E-2
310,3.20E-2
311,-8.00E-3
312,0.00E+0
313,4.80E-2
314,8.00E-3
315,4.00E-2
316,0.00E+0
317,5.60E-2
318,1.60E-2
319,5.60E-2
320,1.60E-2
321,7.20E-2
322,2.40E-2
323,6.40E-2
324,6.40E-2
325,2.40E-2
326,6.40E-2
327,3.20E-2
328,4.00E-2
329,7.20E-2
330,4.00E-2
331,8.80E-2
332,4.80E-2
333,8.80E-2
334,8.80E-2
335,4.80E-2
336,4.80E-2
337,9.60E-2
338,4.80E-2
339,1.04E-1
340,5.60E-2
341,9.60E-2
342,5.60E-2
343,1.12E-1
344,5.60E-2
345,1.12E-1
346,1.12E-1
347,5.60E-2
348,6.40E-2
349,1.12E-1
350,6.40E-2
351,1.12E-1
352,1.12E-1
353,6.40E-2
354,6.40E-2
355,1.20E-1
356,7.20E-2
357,1.12E-1
358,1.12E-1
359,7.20E-2
360,6.40E-2
