X,CH1
0,0.00E+0
1,-2.40E-2
2,0.00E+0
3,-2.40E-2
4,0.00E+0
5,-2.40E-2
6,-2.40E-2
7,0.00E+0
8,-2.40E-2
9,4.00E-3
10,-2.40E-2
11,0.00E+0
12,-2.40E-2
13,0.00E+0
14,0.00E+0
15,-2.40E-2
16,-2.40E-2
17,0.00E+0
18,-2.40E-2
19,0.00E+0
20,-2.40E-2
21,0.00E+0
22,-2.40E-2
23,0.00E+0
24,-2.40E-2
25,4.00E-3
26,0.00E+0
27,-2.40E-2
28,-2.40E-2
29,0.00E+0
30,0.00E+0
31,-2.40E-2
32,0.00E+0
33,-2.40E-2
34,0.00E+0
35,-2.40E-2
36,0.00E+0
37,-2.40E-2
38,-2.40E-2
39,0.00E+0
40,-2.40E-2
41,0.00E+0
42,0.00E+0
43,-2.40E-2
44,0.00E+0
45,-2.40E-2
46,-2.40E-2
47,0.00E+0
48,-2.40E-2
49,0.00E+0
50,-2.40E-2
51,4.00E-3
52,-2.40E-2
53,0.00E+0
54,-2.40E-2
55,4.00E-3
56,-2.40E-2
57,0.00E+0
58,-2.40E-2
59,0.00E+0
60,-2.40E-2
61,0.00E+0
62,-2.40E-2
63,4.00E-3
64,4.00E-3
65,-2.40E-2
66,0.00E+0
67,-2.40E-2
68,-2.00E-2
69,0.00E+0
70,-2.40E-2
71,4.00E-3
72,0.00E+0
73,-2.40E-2
74,0.00E+0
75,-2.40E-2
76,-2.40E-2
77,0.00E+0
78,-2.40E-2
79,0.00E+0
80,0.00E+0
81,-2.40E-2
82,0.00E+0
83,-2.40E-2
84,0.00E+0
85,-2.40E-2
86,0.00E+0
87,-2.40E-2
88,-2.40E-2
89,0.00E+0
90,-2.40E-2
91,0.00E+0
92,-2.40E-2
93,4.00E-3
94,0.00E+0
95,-2.40E-2
96,0.00E+0
97,-2.40E-2
98,-2.40E-2
99,4.00E-3
100,-2.40E-2
101,4.00E-3
102,-2.40E-2
103,0.00E+0
104,-2.40E-2
105,0.00E+0
106,0.00E+0
107,-2.40E-2
108,-2.40E-2
109,0.00E+0
110,-2.40E-2
111,0.00E+0
112,-2.40E-2
113,4.00E-3
114,0.00E+0
115,-2.40E-2
116,4.00E-3
117,-2.40E-2
118,-2.40E-2
119,0.00E+0
120,-2.40E-2
121,4.00E-3
122,-2.40E-2
123,0.00E+0
124,-2.40E-2
125,4.00E-3
126,0.00E+0
127,-2.40E-2
128,-2.40E-2
129,4.00E-3
130,-2.40E-2
131,4.00E-3
132,-2.40E-2
133,0.00E+0
134,0.00E+0
135,-2.40E-2
136,-2.40E-2
137,4.00E-3
138,-2.40E-2
139,0.00E+0
140,0.00E+0
141,-2.40E-2
142,-2.40E-2
143,0.00E+0
144,0.00E+0
145,-2.40E-2
146,-2.40E-2
147,0.00E+0
148,-2.40E-2
149,0.00E+0
150,-2.40E-2
151,0.00E+0
152,0.00E+0
153,-2.40E-2
154,-2.40E-2
155,0.00E+0
156,0.00E+0
157,-2.40E-2
158,-2.40E-2
159,0.00E+0
160,0.00E+0
161,-2.40E-2
162,-2.40E-2
163,0.00E+0
164,0.00E+0
165,-2.40E-2
166,-2.40E-2
167,4.00E-3
168,-2.40E-2
169,0.00E+0
170,-2.40E-2
171,0.00E+0
172,-2.40E-2
173,0.00E+0
174,-2.40E-2
175,4.00E-3
176,0.00E+0
177,-2.40E-2
178,-2.40E-2
179,4.00E-3
180,-2.40E-2
181,0.00E+0
182,-2.40E-2
183,4.00E-3
184,0.00E+0
185,-2.40E-2
186,0.00E+0
187,-2.40E-2
188,-2.40E-2
189,0.00E+0
190,-2.40E-2
191,0.00E+0
192,0.00E+0
193,-2.40E-2
194,0.00E+0
195,-2.40E-2
196,-2.40E-2
197,4.00E-3
198,-2.40E-2
199,0.00E+0
200,-2.40E-2
201,4.00E-3
202,-2.40E-2
203,0.00E+0
204,-2.40E-2
205,4.00E-3
206,-2.40E-2
207,0.00E+0
208,-2.40E-2
209,0.00E+0
210,-2.40E-2
211,0.00E+0
212,0.00E+0
213,-2.40E-2
214,0.00E+0
215,-2.40E-2
216,-2.40E-2
217,4.00E-3
218,-2.40E-2
219,4.00E-3
220,-2.40E-2
221,4.00E-3
222,0.00E+0
223,-2.40E-2
224,0.00E+0
225,-2.40E-2
226,0.00E+0
227,-2.40E-2
228,-2.40E-2
229,4.00E-3
230,0.00E+0
231,-2.40E-2
232,0.00E+0
233,-2.40E-2
234,0.00E+0
235,-2.40E-2
236,-2.40E-2
237,0.00E+0
238,-2.40E-2
239,0.00E+0
240,-2.40E-2
241,4.00E-3
242,0.00E+0
243,-2.40E-2
244,0.00E+0
245,-2.40E-2
246,-2.40E-2
247,0.00E+0
248,-2.40E-2
249,0.00E+0
250,0.00E+0
251,-2.40E-2
252,-2.40E-2
253,4.00E-3
254,-2.40E-2
255,0.00E+0
256,-2.40E-2
257,4.00E-3
258,-2.40E-2
259,0.00E+0
260,-2.40E-2
261,0.00E+0
262,-2.40E-2
263,4.00E-3
264,-2.40E-2
265,4.00E-3
266,-2.40E-2
267,0.00E+0
268,-2.40E-2
269,0.00E+0
270,-2.40E-2
271,0.00E+0
272,0.00E+0
273,-2.40E-2
274,0.00E+0
275,-2.40E-2
276,-2.40E-2
277,0.00E+0
278,-2.40E-2
279,4.00E-3
280,0.00E+0
281,-2.40E-2
282,0.00E+0
283,-2.40E-2
284,0.00E+0
285,-2.40E-2
286,-2.40E-2
287,4.00E-3
288,-2.40E-2
289,0.00E+0
290,-2.40E-2
291,0.00E+0
292,-2.40E-2
293,0.00E+0
294,0.00E+0
295,-2.40E-2
296,-2.40E-2
297,4.00E-3
298,-2.40E-2
299,4.00E-3
300,-2.40E-2
301,4.00E-3
302,-2.40E-2
303,4.00E-3
304,-2.40E-2
305,0.00E+0
306,0.00E+0
307,-2.40E-2
308,-2.40E-2
309,0.00E+0
310,-2.40E-2
311,0.00E+0
312,-2.40E-2
313,4.00E-3
314,-2.40E-2
315,4.00E-3
316,-2.40E-2
317,4.00E-3
318,-2.40E-2
319,4.00E-3
320,-2.40E-2
321,4.00E-3
322,-2.40E-2
323,4.00E-3
324,-2.40E-2
325,4.00E-3
326,0.00E+0
327,-2.80E-2
328,-2.40E-2
329,4.00E-3
330,-2.40E-2
331,4.00E-3
332,-2.40E-2
333,4.00E-3
334,4.00E-3
335,-2.40E-2
336,-2.40E-2
337,4.00E-3
338,-2.40E-2
339,0.00E+0
340,-2.40E-2
341,4.00E-3
342,0.00E+0
343,-2.40E-2
344,0.00E+0
345,-2.40E-2
346,-2.40E-2
347,4.00E-3
348,-2.40E-2
349,0.00E+0
350,-2.40E-2
351,4.00E-3
352,-2.40E-2
353,4.00E-3
354,-2.40E-2
355,4.00E-3
356,-2.40E-2
357,4.00E-3
358,-2.40E-2
