Wavelength    Value      
300.00    1016      
300.10    1033      
300.20    981       
300.30    933       
300.40    999       
300.50    1082      
300.60    976       
300.70    1019      
300.80    988       
300.90    953       
301.00    1018      
301.10    947       
301.20    1042      
301.30    1012      
301.40    978       
301.50    1015      
301.60    964       
301.70    980       
301.80    962       
301.90    1048      
302.00    972       
302.10    1173      
302.20    976       
302.30    959       
302.40    1126      
302.50    1034      
302.60    1020      
302.70    1112      
302.80    1020      
302.90    993       
303.00    1052      
303.10    1010      
303.20    1038      
303.30    1074      
303.40    1071      
303.50    1062      
303.60    1045      
303.70    1043      
303.80    1017      
303.90    1026      
304.00    1112      
304.10    1103      
304.20    1074      
304.30    1107      
304.40    1061      
304.50    1034      
304.60    1106      
304.70    1039      
304.80    1086      
304.90    1176      
305.00    1116      
305.10    1036      
305.20    1090      
305.30    1105      
305.40    1146      
305.50    1148      
305.60    1081      
305.70    1119      
305.80    1102      
305.90    1097      
306.00    1116      
306.10    1126      
306.20    1115      
306.30    1147      
306.40    1154      
306.50    1147      
306.60    1122      
306.70    1149      
306.80    1169      
306.90    1192      
307.00    1168      
307.10    1195      
307.20    1272      
307.30    1269      
307.40    1250      
307.50    1268      
307.60    1264      
307.70    1320      
307.80    1289      
307.90    1353      
308.00    1317      
308.10    1299      
308.20    1382      
308.30    1406      
308.40    1401      
308.50    1360      
308.60    1375      
308.70    1394      
308.80    1376      
308.90    1422      
309.00    1465      
309.10    1433      
309.20    1528      
309.30    1479      
309.40    1527      
309.50    1475      
309.60    1497      
309.70    1522      
309.80    1536      
309.90    1526      
310.00    1471      
310.10    1530      
310.20    1503      
310.30    1525      
310.40    1513      
310.50    1459      
310.60    1495      
310.70    1532      
310.80    1499      
310.90    1479      
311.00    1490      
311.10    1440      
311.20    1440      
311.30    1522      
311.40    1456      
311.50    1471      
311.60    1490      
311.70    1450      
311.80    1454      
311.90    1484      
312.00    1572      
312.10    1592      
312.20    1572      
312.30    1523      
312.40    1568      
312.50    1507      
312.60    1497      
312.70    1491      
312.80    1472      
312.90    1528      
313.00    1567      
313.10    1518      
313.20    1516      
313.30    1604      
313.40    1596      
313.50    1600      
313.60    1622      
313.70    1559      
313.80    1579      
313.90    1556      
314.00    1658      
314.10    1614      
314.20    1621      
314.30    1636      
314.40    1547      
314.50    1648      
314.60    1620      
314.70    1631      
314.80    1692      
314.90    1613      
315.00    1599      
315.10    1612      
315.20    1661      
315.30    1627      
315.40    1654      
315.50    1668      
315.60    1613      
315.70    1705      
315.80    1643      
315.90    1657      
316.00    1670      
316.10    1636      
316.20    1599      
316.30    1721      
316.40    1749      
316.50    1758      
316.60    1671      
316.70    1700      
316.80    1702      
316.90    1700      
317.00    1735      
317.10    1692      
317.20    1703      
317.30    1776      
317.40    1684      
317.50    1725      
317.60    1782      
317.70    1726      
317.80    1786      
317.90    1797      
318.00    1758      
318.10    1735      
318.20    1740      
318.30    1735      
318.40    1770      
318.50    1768      
318.60    1779      
318.70    1788      
318.80    1819      
318.90    1797      
319.00    1820      
319.10    1784      
319.20    1800      
319.30    1803      
319.40    1816      
319.50    1831      
