Wavelength    Value     
400.00    859       
400.10    780       
400.20    823       
400.30    822       
400.40    808       
400.50    803       
400.60    799       
400.70    786       
400.80    876       
400.90    775       
401.00    807       
401.10    825       
401.20    773       
401.30    837       
401.40    864       
401.50    836       
401.60    778       
401.70    791       
401.80    817       
401.90    785       
402.00    834       
402.10    871       
402.20    776       
402.30    832       
402.40    817       
402.50    770       
402.60    798       
402.70    777       
402.80    762       
402.90    767       
403.00    778       
403.10    813       
403.20    834       
403.30    840       
403.40    893       
403.50    802       
403.60    807       
403.70    777       
403.80    857       
403.90    818       
404.00    780       
404.10    831       
404.20    810       
404.30    764       
404.40    792       
404.50    829       
404.60    805       
404.70    823       
404.80    811       
404.90    759       
405.00    783       
405.10    769       
405.20    765       
405.30    831       
405.40    773       
405.50    838       
405.60    780       
405.70    800       
405.80    870       
405.90    808       
406.00    781       
406.10    770       
406.20    870       
406.30    833       
406.40    789       
406.50    801       
406.60    788       
406.70    840       
406.80    821       
406.90    799       
407.00    782       
407.10    788       
407.20    780       
407.30    854       
407.40    775       
407.50    844       
407.60    803       
407.70    858       
407.80    786       
407.90    825       
408.00    806       
408.10    822       
408.20    777       
408.30    755       
408.40    850       
408.50    844       
408.60    797       
408.70    812       
408.80    776       
408.90    804       
409.00    802       
409.10    848       
409.20    764       
409.30    777       
409.40    753       
409.50    871       
409.60    788       
409.70    851       
409.80    922       
409.90    807       
410.00    883       
410.10    789       
410.20    780       
410.30    778       
410.40    797       
410.50    840       
410.60    807       
410.70    817       
410.80    819       
410.90    799       
411.00    790       
411.10    923       
411.20    824       
411.30    792       
411.40    805       
411.50    799       
411.60    865       
411.70    770       
411.80    815       
411.90    797       
412.00    788       
412.10    802       
412.20    865       
412.30    828       
412.40    833       
412.50    805       
412.60    739       
412.70    824       
412.80    822       
412.90    752       
413.00    783       
413.10    808       
413.20    798       
413.30    822       
413.40    844       
413.50    754       
413.60    801       
413.70    794       
413.80    802       
413.90    760       
414.00    858       
414.10    810       
414.20    814       
414.30    804       
414.40    809       
414.50    746       
414.60    844       
414.70    805       
414.80    816       
414.90    866       
415.00    795       
415.10    813       
415.20    842       
415.30    844       
415.40    810       
415.50    813       
415.60    810       
415.70    834       
415.80    839       
415.90    790       
416.00    778       
416.10    830       
416.20    905       
416.30    794       
416.40    817       
416.50    926       
416.60    874       
416.70    773       
416.80    769       
416.90    818       
417.00    816       
417.10    819       
417.20    825       
417.30    828       
417.40    805       
417.50    840       
417.60    823       
417.70    802       
417.80    782       
417.90    801       
418.00    821       
418.10    847       
418.20    776       
418.30    776       
418.40    825       
418.50    879       
418.60    786       
418.70    830       
418.80    817       
418.90    811       
419.00    826       
419.10    829       
419.20    760       
419.30    813       
419.40    846       
419.50    827       
419.60    818       
419.70    857       
419.80    818       
419.90    848       
420.00    753       
420.10    814       
420.20    886       
420.30    773       
420.40    782       
420.50    807       
420.60    789       
420.70    778       
420.80    882       
420.90    815       
421.00    855       
421.10    819       
421.20    870       
421.30    778       
421.40    799       
421.50    792       
421.60    830       
421.70    792       
421.80    851       
421.90    857       
422.00    816       
422.10    803       
422.20    792       
422.30    856       
422.40    810       
422.50    802       
422.60    803       
422.70    840       
422.80    796       
422.90    833       
423.00    834       
423.10    818       
423.20    899       
423.30    781       
423.40    920       
423.50    789       
423.60    859       
423.70    881       
423.80    751       
423.90    780       
424.00    860       
424.10    936       
424.20    866       
424.30    802       
424.40    840       
424.50    857       
424.60    840       
424.70    777       
424.80    828       
424.90    856       
425.00    833       
425.10    797       
425.20    861       
425.30    879       
425.40    846       
425.50    797       
425.60    856       
425.70    894       
425.80    824       
425.90    820       
426.00    817       
426.10    895       
426.20    832       
426.30    851       
426.40    860       
426.50    863       
426.60    800       
426.70    864       
426.80    838       
426.90    799       
427.00    796       
427.10    888       
427.20    894       
427.30    820       
427.40    858       
427.50    860       
427.60    856       
427.70    865       
427.80    882       
427.90    851       
428.00    834       
428.10    897       
428.20    887       
428.30    831       
428.40    972       
428.50    894       
428.60    1007      
428.70    884       
428.80    952       
428.90    854       
429.00    852       
429.10    817       
429.20    856       
429.30    867       
429.40    864       
429.50    899       
429.60    855       
429.70    900       
429.80    938       
429.90    860       
430.00    911       
430.10    853       
430.20    822       
430.30    957       
430.40    884       
430.50    839       
430.60    857       
430.70    872       
430.80    986       
430.90    937       
431.00    911       
431.10    907       
431.20    932       
431.30    937       
431.40    876       
431.50    920       
431.60    892       
431.70    867       
431.80    865       
431.90    906       
432.00    899       
432.10    924       
432.20    900       
432.30    960       
432.40    882       
432.50    904       
432.60    922       
432.70    847       
432.80    960       
432.90    970       
433.00    978       
433.10    903       
433.20    877       
433.30    913       
433.40    939       
433.50    870       
433.60    905       
433.70    909       
433.80    907       
433.90    914       
434.00    914       
434.10    920       
434.20    932       
434.30    929       
434.40    884       
434.50    910       
434.60    904       
434.70    945       
434.80    910       
434.90    973       
435.00    970       
435.10    982       
435.20    1016      
435.30    1002      
435.40    957       
435.50    929       
435.60    970       
435.70    936       
435.80    949       
435.90    949       
436.00    1009      
436.10    966       
436.20    979       
436.30    958       
436.40    1003      
436.50    948       
436.60    974       
436.70    968       
436.80    971       
436.90    965       
437.00    950       
437.10    1035      
437.20    1059      
437.30    1003      
437.40    972       
437.50    1022      
437.60    1094      
437.70    1023      
437.80    976       
437.90    969       
438.00    1021      
438.10    1017      
438.20    1126      
438.30    1087      
438.40    1033      
438.50    1072      
438.60    1104      
438.70    1030      
438.80    1045      
438.90    1009      
439.00    1095      
439.10    1122      
439.20    1052      
439.30    1198      
439.40    1106      
439.50    1104      
439.60    1096      
439.70    1134      
439.80    1067      
439.90    1082      
440.00    1047      
440.10    1123      
440.20    1138      
440.30    1079      
440.40    1075      
440.50    1140      
440.60    1119      
440.70    1176      
440.80    1170      
440.90    1143      
441.00    1127      
441.10    1100      
441.20    1113      
441.30    1141      
441.40    1221      
441.50    1135      
441.60    1211      
441.70    1140      
441.80    1227      
441.90    1210      
442.00    1190      
442.10    1266      
442.20    1119      
442.30    1194      
442.40    1168      
442.50    1181      
442.60    1237      
442.70    1270      
442.80    1233      
442.90    1342      
443.00    1187      
443.10    1277      
443.20    1253      
443.30    1266      
443.40    1324      
443.50    1332      
443.60    1260      
443.70    1423      
443.80    1292      
443.90    1288      
444.00    1278      
444.10    1253      
444.20    1339      
444.30    1291      
444.40    1366      
