Wavelength    Value   
450.00    801       
450.10    800       
450.20    821       
450.30    799       
450.40    833       
450.50    904       
450.60    881       
450.70    791       
450.80    825       
450.90    738       
451.00    826       
451.10    793       
451.20    834       
451.30    830       
451.40    830       
451.50    794       
451.60    826       
451.70    824       
451.80    779       
451.90    861       
452.00    778       
452.10    811       
452.20    817       
452.30    780       
452.40    751       
452.50    785       
452.60    795       
452.70    843       
452.80    814       
452.90    830       
453.00    789       
453.10    784       
453.20    806       
453.30    846       
453.40    813       
453.50    778       
453.60    794       
453.70    865       
453.80    894       
453.90    791       
454.00    764       
454.10    835       
454.20    775       
454.30    826       
454.40    804       
454.50    832       
454.60    817       
454.70    787       
454.80    822       
454.90    911       
455.00    833       
455.10    790       
455.20    792       
455.30    763       
455.40    762       
455.50    871       
455.60    828       
455.70    826       
455.80    840       
455.90    874       
456.00    908       
456.10    847       
456.20    806       
456.30    828       
456.40    742       
456.50    769       
456.60    850       
456.70    802       
456.80    815       
456.90    812       
457.00    761       
457.10    814       
457.20    805       
457.30    834       
457.40    772       
457.50    829       
457.60    788       
457.70    764       
457.80    892       
457.90    758       
458.00    908       
458.10    913       
458.20    837       
458.30    818       
458.40    815       
458.50    796       
458.60    751       
458.70    778       
458.80    870       
458.90    793       
459.00    832       
459.10    838       
459.20    800       
459.30    851       
459.40    802       
459.50    865       
459.60    793       
459.70    803       
459.80    785       
459.90    854       
460.00    816       
460.10    853       
460.20    811       
460.30    824       
460.40    880       
460.50    820       
460.60    825       
460.70    776       
460.80    812       
460.90    749       
461.00    807       
461.10    821       
461.20    828       
461.30    760       
461.40    847       
461.50    809       
461.60    786       
461.70    794       
461.80    861       
461.90    746       
462.00    836       
462.10    811       
462.20    780       
462.30    873       
462.40    817       
462.50    847       
462.60    794       
462.70    809       
462.80    831       
462.90    811       
463.00    771       
463.10    864       
463.20    855       
463.30    956       
463.40    818       
463.50    788       
463.60    982       
463.70    855       
463.80    793       
463.90    788       
464.00    878       
464.10    822       
464.20    788       
464.30    799       
464.40    852       
464.50    798       
464.60    753       
464.70    790       
464.80    893       
464.90    803       
465.00    779       
465.10    816       
465.20    785       
465.30    833       
465.40    778       
465.50    810       
465.60    849       
465.70    855       
465.80    885       
465.90    812       
466.00    820       
466.10    772       
466.20    782       
466.30    803       
466.40    800       
466.50    765       
466.60    850       
466.70    814       
466.80    918       
466.90    787       
467.00    826       
467.10    808       
467.20    891       
467.30    827       
467.40    774       
467.50    837       
467.60    839       
467.70    756       
467.80    785       
467.90    814       
468.00    809       
468.10    767       
468.20    826       
468.30    900       
468.40    775       
468.50    883       
468.60    879       
468.70    805       
468.80    830       
468.90    916       
469.00    836       
469.10    795       
469.20    791       
469.30    781       
469.40    747       
469.50    866       
469.60    776       
469.70    880       
469.80    790       
469.90    949       
470.00    877       
470.10    785       
470.20    861       
470.30    758       
470.40    775       
470.50    849       
470.60    794       
470.70    812       
470.80    845       
470.90    789       
471.00    795       
471.10    836       
471.20    887       
471.30    838       
471.40    810       
471.50    864       
471.60    819       
471.70    854       
471.80    843       
471.90    826       
472.00    893       
472.10    839       
472.20    803       
472.30    809       
472.40    853       
472.50    842       
472.60    856       
472.70    787       
472.80    746       
472.90    904       
473.00    821       
473.10    800       
473.20    854       
473.30    833       
473.40    902       
473.50    823       
473.60    823       
473.70    780       
473.80    823       
473.90    840       
474.00    878       
474.10    788       
474.20    873       
474.30    831       
474.40    862       
474.50    876       
474.60    832       
474.70    828       
474.80    794       
474.90    844       
475.00    868       
475.10    899       
475.20    817       
475.30    797       
475.40    971       
475.50    865       
475.60    844       
475.70    840       
475.80    838       
475.90    801       
476.00    835       
476.10    841       
476.20    821       
476.30    834       
476.40    837       
476.50    856       
476.60    829       
476.70    837       
476.80    911       
476.90    852       
477.00    864       
477.10    849       
477.20    817       
477.30    931       
477.40    809       
477.50    891       
477.60    862       
477.70    847       
477.80    945       
477.90    850       
478.00    875       
478.10    855       
478.20    809       
478.30    869       
478.40    830       
478.50    852       
478.60    864       
478.70    873       
478.80    844       
478.90    878       
479.00    824       
479.10    855       
479.20    851       
479.30    833       
479.40    878       
479.50    832       
479.60    893       
479.70    847       
479.80    866       
479.90    876       
480.00    874       
480.10    802       
480.20    990       
480.30    837       
480.40    861       
480.50    890       
480.60    849       
480.70    839       
480.80    881       
480.90    881       
481.00    845       
481.10    896       
481.20    898       
481.30    868       
481.40    830       
481.50    851       
481.60    893       
481.70    902       
481.80    878       
481.90    975       
482.00    862       
482.10    862       
482.20    955       
482.30    849       
482.40    888       
482.50    843       
482.60    836       
482.70    856       
482.80    930       
482.90    895       
483.00    907       
483.10    880       
483.20    966       
483.30    843       
483.40    1001      
483.50    845       
483.60    838       
483.70    854       
483.80    956       
483.90    911       
484.00    894       
484.10    908       
484.20    888       
484.30    911       
484.40    877       
484.50    884       
484.60    898       
484.70    892       
484.80    863       
484.90    965       
485.00    865       
485.10    987       
485.20    909       
485.30    855       
485.40    995       
485.50    918       
485.60    899       
485.70    933       
485.80    894       
485.90    901       
486.00    922       
486.10    914       
486.20    922       
486.30    1036      
486.40    992       
486.50    939       
486.60    938       
486.70    957       
486.80    909       
486.90    900       
487.00    919       
487.10    995       
487.20    920       
487.30    898       
487.40    967       
487.50    1014      
487.60    1070      
487.70    895       
487.80    907       
487.90    966       
488.00    913       
488.10    955       
488.20    958       
488.30    913       
488.40    997       
488.50    957       
488.60    983       
488.70    937       
488.80    1014      
488.90    951       
489.00    935       
489.10    904       
489.20    919       
489.30    1046      
489.40    932       
489.50    937       
489.60    976       
489.70    1009      
489.80    974       
489.90    946       
490.00    973       
490.10    950       
490.20    1059      
490.30    972       
490.40    1029      
490.50    981       
490.60    1040      
490.70    991       
490.80    991       
490.90    1016      
491.00    977       
491.10    994       
491.20    978       
491.30    1001      
491.40    970       
491.50    1078      
491.60    989       
491.70    1137      
491.80    1028      
491.90    1008      
492.00    1012      
492.10    989       
492.20    1015      
492.30    972       
492.40    1054      
492.50    1032      
492.60    1097      
492.70    1081      
492.80    1030      
492.90    1046      
493.00    1072      
493.10    1013      
493.20    1008      
493.30    998       
493.40    1038      
493.50    1013      
493.60    1116      
493.70    1096      
493.80    1073      
493.90    1072      
494.00    1096      
494.10    1108      
494.20    1022      
494.30    1033      
494.40    1015      
494.50    1041      
494.60    1051      
494.70    1072      
494.80    1101      
494.90    1066      
495.00    1085      
495.10    1129      
495.20    1069      
495.30    1086      
495.40    1086      
495.50    1067      
495.60    1060      
495.70    1112      
495.80    1109      
495.90    1114      
496.00    1203      
496.10    1120      
496.20    1128      
496.30    1138      
496.40    1142      
496.50    1110      
496.60    1091      
496.70    1169      
496.80    1156      
496.90    1162      
497.00    1127      
497.10    1181      
497.20    1158      
497.30    1188      
497.40    1195      
497.50    1245      
497.60    1187      
497.70    1173      
497.80    1146      
497.90    1171      
498.00    1253      
498.10    1189      
498.20    1247      
498.30    1191      
498.40    1212      
498.50    1306      
498.60    1229      
498.70    1183      
498.80    1190      
498.90    1205      
499.00    1270      
499.10    1225      
499.20    1190      
499.30    1267      
499.40    1250      
499.50    1254      
499.60    1239      
499.70    1322      
499.80    1256      
499.90    1206      
500.00    1261      
500.10    1265      
500.20    1236      
500.30    1323      
500.40    1279      
500.50    1306      
500.60    1303      
500.70    1261      
500.80    1282      
500.90    1332      
501.00    1306      
501.10    1284      
501.20    1316      
501.30    1329      
501.40    1302      
501.50    1373      
501.60    1343      
501.70    1313      
501.80    1429      
501.90    1376      
502.00    1323      
502.10    1341      
502.20    1370      
502.30    1377      
502.40    1350      
502.50    1374      
502.60    1407      
502.70    1455      
502.80    1419      
502.90    1372      
503.00    1523      
503.10    1447      
503.20    1523      
503.30    1436      
503.40    1389      
503.50    1476      
503.60    1526      
503.70    1457      
503.80    1507      
503.90    1467      
504.00    1512      
504.10    1546      
504.20    1505      
504.30    1468      
504.40    1611      
504.50    1585      
504.60    1509      
504.70    1598      
504.80    1571      
504.90    1630      
505.00    1607      
505.10    1551      
505.20    1553      
505.30    1507      
505.40    1569      
505.50    1688      
505.60    1551      
505.70    1580      
505.80    1637      
505.90    1626      
506.00    1647      
506.10    1570      
506.20    1684      
506.30    1658      
506.40    1648      
506.50    1645      
506.60    1604      
506.70    1662      
506.80    1679      
506.90    1680      
507.00    1753      
507.10    1696      
507.20    1753      
507.30    1767      
507.40    1702      
507.50    1686      
507.60    1775      
507.70    1812      
507.80    1799      
507.90    1722      
508.00    1705      
508.10    1763      
508.20    1853      
508.30    1799      
508.40    1811      
508.50    1837      
508.60    1768      
508.70    1802      
508.80    1884      
508.90    1834      
509.00    1888      
509.10    1871      
509.20    1931      
509.30    1852      
509.40    1914      
509.50    1910      
509.60    1869      
509.70    1861      
509.80    1981      
509.90    1914      
510.00    1996      
510.10    1951      
510.20    1966      
510.30    2067      
510.40    2016      
510.50    1910      
510.60    2028      
510.70    2032      
510.80    2106      
510.90    2033      
511.00    2044      
511.10    2038      
511.20    2044      
511.30    2057      
511.40    2090      
511.50    2064      
511.60    2050      
511.70    2047      
511.80    2086      
511.90    2121      
512.00    2222      
512.10    2113      
512.20    2192      
512.30    2122      
512.40    2182      
512.50    2208      
512.60    2166      
512.70    2307      
512.80    2163      
512.90    2205      
513.00    2299      
513.10    2221      
513.20    2198      
513.30    2342      
513.40    2252      
513.50    2390      
513.60    2218      
513.70    2257      
513.80    2265      
513.90    2312      
514.00    2307      
514.10    2468      
514.20    2308      
514.30    2428      
514.40    2415      
514.50    2342      
514.60    2363      
514.70    2384      
514.80    2344      
514.90    2337      
515.00    2354      
515.10    2426      
515.20    2433      
515.30    2478      
515.40    2482      
515.50    2445      
515.60    2507      
515.70    2500      
515.80    2515      
515.90    2524      
516.00    2498      
516.10    2452      
516.20    2506      
516.30    2514      
516.40    2463      
516.50    2514      
516.60    2657      
516.70    2563      
516.80    2556      
516.90    2587      
