Wavelength    Value    
550.00    799       
550.10    882       
550.20    781       
550.30    796       
550.40    799       
550.50    761       
550.60    815       
550.70    783       
550.80    817       
550.90    856       
551.00    910       
551.10    809       
551.20    870       
551.30    792       
551.40    811       
551.50    799       
551.60    755       
551.70    809       
551.80    756       
551.90    835       
552.00    868       
552.10    799       
552.20    837       
552.30    785       
552.40    755       
552.50    780       
552.60    827       
552.70    818       
552.80    956       
552.90    829       
553.00    802       
553.10    882       
553.20    823       
553.30    816       
553.40    859       
553.50    795       
553.60    785       
553.70    753       
553.80    907       
553.90    901       
554.00    814       
554.10    840       
554.20    832       
554.30    830       
554.40    792       
554.50    827       
554.60    788       
554.70    830       
554.80    777       
554.90    798       
555.00    802       
555.10    826       
555.20    817       
555.30    817       
555.40    818       
555.50    782       
555.60    820       
555.70    858       
555.80    841       
555.90    766       
556.00    823       
556.10    821       
556.20    765       
556.30    957       
556.40    806       
556.50    818       
556.60    790       
556.70    775       
556.80    812       
556.90    830       
557.00    868       
557.10    826       
557.20    814       
557.30    812       
557.40    883       
557.50    845       
557.60    831       
557.70    747       
557.80    773       
557.90    820       
558.00    800       
558.10    819       
558.20    788       
558.30    806       
558.40    844       
558.50    820       
558.60    839       
558.70    750       
558.80    771       
558.90    872       
559.00    789       
559.10    906       
559.20    788       
559.30    841       
559.40    879       
559.50    829       
559.60    875       
559.70    916       
559.80    755       
559.90    888       
560.00    829       
560.10    776       
560.20    791       
560.30    781       
560.40    802       
560.50    804       
560.60    800       
560.70    811       
560.80    779       
560.90    813       
561.00    821       
561.10    808       
561.20    848       
561.30    808       
561.40    842       
561.50    780       
561.60    824       
561.70    840       
561.80    818       
561.90    803       
562.00    823       
562.10    871       
562.20    842       
562.30    839       
562.40    750       
562.50    813       
562.60    743       
562.70    800       
562.80    985       
562.90    782       
563.00    817       
563.10    759       
563.20    809       
563.30    826       
563.40    851       
563.50    830       
563.60    766       
563.70    819       
563.80    794       
563.90    828       
564.00    791       
564.10    801       
564.20    798       
564.30    818       
564.40    819       
564.50    784       
564.60    821       
564.70    768       
564.80    831       
564.90    791       
565.00    842       
565.10    780       
565.20    795       
565.30    842       
565.40    784       
565.50    779       
565.60    878       
565.70    879       
565.80    865       
565.90    790       
566.00    882       
566.10    823       
566.20    810       
566.30    843       
566.40    861       
566.50    793       
566.60    750       
566.70    982       
566.80    849       
566.90    760       
567.00    822       
567.10    808       
567.20    864       
567.30    788       
567.40    831       
567.50    950       
567.60    773       
567.70    828       
567.80    784       
567.90    798       
568.00    781       
568.10    843       
568.20    869       
568.30    800       
568.40    794       
568.50    826       
568.60    810       
568.70    808       
568.80    828       
568.90    782       
569.00    844       
569.10    841       
569.20    803       
569.30    889       
569.40    857       
569.50    808       
569.60    816       
569.70    833       
569.80    821       
569.90    784       
570.00    779       
570.10    894       
570.20    776       
570.30    790       
570.40    828       
570.50    779       
570.60    841       
570.70    873       
570.80    796       
570.90    851       
571.00    829       
571.10    841       
571.20    824       
571.30    796       
571.40    883       
571.50    804       
571.60    847       
571.70    813       
571.80    884       
571.90    805       
572.00    809       
572.10    786       
572.20    838       
572.30    857       
572.40    858       
572.50    817       
572.60    801       
572.70    802       
572.80    795       
572.90    750       
573.00    799       
573.10    782       
573.20    812       
573.30    865       
573.40    821       
573.50    813       
573.60    782       
573.70    822       
573.80    796       
573.90    805       
574.00    800       
574.10    807       
574.20    826       
574.30    832       
574.40    799       
574.50    795       
574.60    800       
574.70    812       
574.80    847       
574.90    878       
575.00    792       
575.10    826       
575.20    814       
575.30    786       
575.40    856       
575.50    808       
575.60    923       
575.70    824       
575.80    850       
575.90    830       
576.00    811       
576.10    916       
576.20    785       
576.30    786       
576.40    844       
576.50    855       
576.60    874       
576.70    797       
576.80    916       
576.90    782       
577.00    858       
577.10    805       
577.20    848       
577.30    883       
577.40    778       
577.50    802       
577.60    835       
577.70    894       
577.80    781       
577.90    831       
578.00    800       
578.10    813       
578.20    802       
578.30    770       
578.40    956       
578.50    790       
578.60    847       
578.70    855       
578.80    847       
578.90    775       
579.00    930       
579.10    850       
579.20    867       
579.30    786       
579.40    789       
579.50    837       
579.60    793       
579.70    848       
579.80    830       
579.90    912       
580.00    835       
580.10    952       
580.20    826       
580.30    826       
580.40    816       
580.50    830       
580.60    827       
580.70    821       
580.80    837       
580.90    805       
581.00    933       
581.10    855       
581.20    798       
581.30    849       
581.40    763       
