Wavelength    Value    
350.00    832       
350.10    941       
350.20    869       
350.30    777       
350.40    829       
350.50    887       
350.60    832       
350.70    886       
350.80    830       
350.90    817       
351.00    786       
351.10    809       
351.20    831       
351.30    777       
351.40    832       
351.50    778       
351.60    769       
351.70    843       
351.80    826       
351.90    781       
352.00    861       
352.10    796       
352.20    821       
352.30    804       
352.40    769       
352.50    898       
352.60    839       
352.70    809       
352.80    778       
352.90    768       
353.00    833       
353.10    826       
353.20    800       
353.30    807       
353.40    917       
353.50    831       
353.60    924       
353.70    828       
353.80    844       
353.90    825       
354.00    762       
354.10    776       
354.20    837       
354.30    790       
354.40    821       
354.50    811       
354.60    836       
354.70    834       
354.80    802       
354.90    803       
355.00    768       
355.10    775       
355.20    807       
355.30    818       
355.40    762       
355.50    874       
355.60    919       
355.70    786       
355.80    911       
355.90    770       
356.00    821       
356.10    792       
356.20    746       
356.30    815       
356.40    878       
356.50    765       
356.60    769       
356.70    849       
356.80    857       
356.90    874       
357.00    811       
357.10    787       
357.20    779       
357.30    805       
357.40    774       
357.50    909       
357.60    850       
357.70    804       
357.80    800       
357.90    793       
358.00    857       
358.10    911       
358.20    795       
358.30    749       
358.40    728       
358.50    829       
358.60    756       
358.70    777       
358.80    771       
358.90    820       
359.00    826       
359.10    817       
359.20    788       
359.30    794       
359.40    803       
359.50    762       
359.60    774       
359.70    798       
359.80    803       
359.90    847       
360.00    822       
360.10    768       
360.20    871       
360.30    842       
360.40    811       
360.50    822       
360.60    817       
360.70    780       
360.80    755       
360.90    804       
361.00    837       
361.10    766       
361.20    830       
361.30    866       
361.40    799       
361.50    846       
361.60    838       
361.70    755       
361.80    779       
361.90    755       
362.00    791       
362.10    829       
362.20    832       
362.30    800       
362.40    988       
362.50    827       
362.60    832       
362.70    810       
362.80    787       
362.90    791       
363.00    795       
363.10    835       
363.20    775       
363.30    823       
363.40    797       
363.50    838       
363.60    793       
363.70    795       
363.80    817       
363.90    773       
364.00    786       
364.10    850       
364.20    806       
364.30    757       
364.40    800       
364.50    812       
364.60    821       
364.70    826       
364.80    782       
364.90    802       
365.00    773       
365.10    797       
365.20    769       
365.30    806       
365.40    777       
365.50    757       
365.60    850       
365.70    834       
365.80    803       
365.90    812       
366.00    817       
366.10    787       
366.20    781       
366.30    788       
366.40    832       
366.50    821       
366.60    795       
366.70    784       
366.80    872       
366.90    873       
367.00    867       
367.10    806       
367.20    802       
367.30    774       
367.40    801       
367.50    831       
367.60    809       
367.70    836       
367.80    856       
367.90    792       
368.00    828       
368.10    770       
368.20    834       
368.30    787       
368.40    796       
368.50    801       
368.60    817       
368.70    842       
368.80    783       
368.90    822       
369.00    822       
369.10    807       
369.20    879       
369.30    857       
369.40    810       
369.50    791       
369.60    848       
369.70    784       
369.80    777       
369.90    801       
370.00    847       
370.10    812       
370.20    893       
370.30    819       
370.40    770       
370.50    796       
370.60    802       
370.70    832       
370.80    821       
370.90    787       
371.00    801       
371.10    812       
371.20    785       
371.30    812       
371.40    837       
371.50    834       
371.60    774       
371.70    808       
371.80    838       
371.90    775       
372.00    777       
372.10    823       
372.20    823       
372.30    795       
372.40    870       
372.50    846       
372.60    820       
372.70    832       
372.80    753       
372.90    746       
373.00    790       
373.10    781       
373.20    798       
373.30    872       
373.40    811       
373.50    844       
373.60    844       
373.70    853       
373.80    799       
373.90    790       
374.00    832       
374.10    835       
374.20    819       
374.30    832       
374.40    864       
374.50    820       
374.60    852       
374.70    800       
374.80    793       
374.90    781       
375.00    828       
375.10    754       
375.20    792       
375.30    752       
375.40    899       
375.50    859       
375.60    845       
375.70    863       
375.80    815       
375.90    805       
376.00    795       
376.10    779       
376.20    778       
376.30    795       
376.40    858       
376.50    799       
376.60    789       
376.70    781       
376.80    842       
376.90    762       
377.00    798       
377.10    780       
377.20    754       
377.30    817       
377.40    841       
377.50    805       
377.60    826       
377.70    799       
377.80    844       
377.90    870       
378.00    841       
378.10    816       
378.20    781       
378.30    814       
378.40    781       
378.50    869       
378.60    802       
378.70    747       
378.80    780       
378.90    837       
379.00    826       
379.10    842       
379.20    783       
379.30    765       
379.40    830       
379.50    810       
379.60    801       
379.70    873       
379.80    806       
379.90    829       
380.00    854       
380.10    780       
380.20    806       
380.30    782       
380.40    804       
380.50    782       
380.60    766       
380.70    779       
380.80    799       
380.90    842       
381.00    790       
381.10    838       
381.20    810       
381.30    766       
381.40    748       
381.50    799       
381.60    791       
381.70    762       
381.80    838       
381.90    790       
382.00    858       
382.10    814       
382.20    809       
382.30    777       
382.40    850       
382.50    809       
382.60    862       
382.70    870       
382.80    786       
382.90    777       
383.00    773       
383.10    803       
383.20    796       
383.30    823       
383.40    782       
383.50    969       
383.60    886       
383.70    802       
383.80    823       
383.90    813       
384.00    916       
384.10    764       
384.20    780       
384.30    784       
384.40    914       
384.50    804       
384.60    796       
384.70    813       
384.80    790       
384.90    772       
385.00    827       
385.10    920       
385.20    771       
385.30    803       
385.40    771       
385.50    883       
385.60    787       
385.70    874       
385.80    782       
385.90    851       
386.00    817       
386.10    814       
386.20    805       
386.30    818       
386.40    869       
386.50    788       
386.60    862       
386.70    804       
386.80    880       
386.90    766       
387.00    771       
387.10    820       
387.20    798       
387.30    745       
387.40    786       
387.50    790       
387.60    845       
387.70    872       
387.80    835       
387.90    855       
388.00    874       
388.10    771       
388.20    844       
388.30    819       
388.40    811       
388.50    777       
388.60    812       
388.70    793       
388.80    828       
388.90    878       
389.00    868       
389.10    772       
389.20    782       
389.30    806       
389.40    751       
389.50    807       
389.60    855       
389.70    816       
389.80    805       
389.90    863       
390.00    796       
390.10    933       
390.20    954       
390.30    761       
390.40    784       
390.50    780       
390.60    794       
390.70    843       
390.80    756       
390.90    807       
391.00    810       
391.10    884       
391.20    840       
391.30    882       
391.40    811       
391.50    820       
391.60    805       
391.70    815       
391.80    817       
391.90    795       
392.00    858       
392.10    803       
392.20    837       
392.30    865       
392.40    886       
392.50    801       
392.60    853       
392.70    786       
392.80    820       
392.90    792       
393.00    845       
393.10    821       
393.20    773       
393.30    789       
393.40    941       
393.50    790       
393.60    772       
393.70    820       
393.80    785       
393.90    817       
394.00    784       
394.10    826       
394.20    769       
394.30    796       
394.40    790       
394.50    838       
394.60    816       
394.70    831       
394.80    852       
394.90    795       
395.00    755       
395.10    807       
395.20    787       
395.30    823       
395.40    811       
395.50    828       
395.60    815       
395.70    802       
395.80    789       
395.90    812       
396.00    777       
396.10    799       
396.20    790       
396.30    816       
396.40    779       
396.50    808       
396.60    801       
396.70    769       
396.80    752       
396.90    818       
397.00    808       
397.10    839       
397.20    798       
397.30    775       
397.40    775       
397.50    771       
397.60    856       
397.70    801       
397.80    890       
397.90    773       
398.00    772       
398.10    844       
398.20    784       
398.30    772       
398.40    836       
398.50    881       
398.60    846       
398.70    800       
398.80    808       
398.90    871       
399.00    856       
399.10    756       
399.20    802       
399.30    769       
399.40    808       
399.50    844       
399.60    849       
399.70    890       
399.80    755       
399.90    834       
400.00    802       
400.10    777       
400.20    794       
400.30    834       
400.40    815       
400.50    799       
