Wavelength    Value   
550.00    857       
550.10    948       
550.20    777       
550.30    774       
550.40    773       
550.50    811       
550.60    769       
550.70    824       
550.80    836       
550.90    865       
551.00    796       
551.10    889       
551.20    865       
551.30    848       
551.40    930       
551.50    851       
551.60    788       
551.70    798       
551.80    839       
551.90    811       
552.00    883       
552.10    895       
552.20    851       
552.30    810       
552.40    826       
552.50    867       
552.60    806       
552.70    793       
552.80    877       
552.90    805       
553.00    777       
553.10    809       
553.20    860       
553.30    830       
553.40    844       
553.50    774       
553.60    772       
553.70    799       
553.80    828       
553.90    856       
554.00    873       
554.10    806       
554.20    877       
554.30    842       
554.40    850       
554.50    913       
554.60    882       
554.70    787       
554.80    818       
554.90    864       
555.00    830       
555.10    812       
555.20    842       
555.30    811       
555.40    867       
555.50    821       
555.60    765       
555.70    813       
555.80    784       
555.90    775       
556.00    897       
556.10    824       
556.20    854       
556.30    821       
556.40    829       
556.50    850       
556.60    823       
556.70    783       
556.80    848       
556.90    775       
557.00    847       
557.10    922       
557.20    811       
557.30    870       
557.40    856       
557.50    811       
557.60    860       
557.70    842       
557.80    829       
557.90    871       
558.00    792       
558.10    919       
558.20    847       
558.30    931       
558.40    816       
558.50    866       
558.60    884       
558.70    810       
558.80    779       
558.90    827       
559.00    807       
559.10    813       
559.20    812       
559.30    813       
559.40    886       
559.50    865       
559.60    858       
559.70    947       
559.80    839       
559.90    789       
560.00    785       
560.10    820       
560.20    855       
560.30    857       
560.40    959       
560.50    920       
560.60    802       
560.70    879       
560.80    834       
560.90    826       
561.00    844       
561.10    810       
561.20    755       
561.30    821       
561.40    859       
561.50    841       
561.60    1025      
561.70    873       
561.80    874       
561.90    845       
562.00    845       
562.10    865       
562.20    853       
562.30    830       
562.40    838       
562.50    816       
562.60    851       
562.70    946       
562.80    855       
562.90    890       
563.00    808       
563.10    845       
563.20    848       
563.30    833       
563.40    821       
563.50    896       
563.60    818       
563.70    822       
563.80    845       
563.90    831       
564.00    851       
564.10    817       
564.20    801       
564.30    831       
564.40    856       
564.50    837       
564.60    845       
564.70    833       
564.80    856       
564.90    883       
565.00    940       
565.10    841       
565.20    804       
565.30    881       
565.40    840       
565.50    840       
565.60    855       
565.70    789       
565.80    894       
565.90    848       
566.00    819       
566.10    947       
566.20    907       
566.30    837       
566.40    826       
566.50    844       
566.60    916       
566.70    874       
566.80    916       
566.90    867       
567.00    859       
567.10    922       
567.20    905       
567.30    912       
567.40    961       
567.50    975       
