Wavelength    Value    
300.00    820       
300.10    819       
300.20    877       
300.30    821       
300.40    729       
300.50    770       
300.60    815       
300.70    792       
300.80    882       
300.90    820       
301.00    825       
301.10    916       
301.20    807       
301.30    800       
301.40    882       
301.50    787       
301.60    787       
301.70    770       
301.80    791       
301.90    844       
302.00    904       
302.10    864       
302.20    873       
302.30    797       
302.40    781       
302.50    795       
302.60    756       
302.70    813       
302.80    779       
302.90    850       
303.00    826       
303.10    866       
303.20    815       
303.30    863       
303.40    822       
303.50    806       
303.60    788       
303.70    823       
303.80    808       
303.90    789       
304.00    815       
304.10    793       
304.20    831       
304.30    803       
304.40    807       
304.50    789       
304.60    832       
304.70    797       
304.80    793       
304.90    821       
305.00    790       
305.10    819       
305.20    781       
305.30    793       
305.40    814       
305.50    785       
305.60    845       
305.70    850       
305.80    801       
305.90    822       
306.00    808       
306.10    774       
306.20    815       
306.30    803       
306.40    853       
306.50    842       
306.60    858       
306.70    854       
306.80    877       
306.90    822       
307.00    820       
307.10    836       
307.20    845       
307.30    807       
307.40    806       
307.50    892       
307.60    808       
307.70    929       
307.80    801       
307.90    913       
308.00    806       
308.10    811       
308.20    841       
308.30    762       
308.40    794       
308.50    889       
308.60    870       
308.70    868       
308.80    826       
308.90    784       
309.00    871       
309.10    818       
309.20    860       
309.30    856       
309.40    790       
309.50    836       
309.60    860       
309.70    811       
309.80    843       
309.90    879       
310.00    831       
310.10    852       
310.20    886       
310.30    859       
310.40    794       
310.50    782       
310.60    802       
310.70    832       
310.80    818       
310.90    781       
311.00    853       
311.10    794       
311.20    791       
311.30    850       
311.40    864       
311.50    798       
311.60    800       
311.70    758       
311.80    853       
311.90    798       
312.00    799       
312.10    884       
312.20    909       
312.30    819       
312.40    831       
312.50    838       
312.60    839       
312.70    827       
312.80    776       
312.90    784       
313.00    875       
313.10    786       
313.20    814       
313.30    828       
313.40    799       
313.50    864       
313.60    771       
313.70    790       
313.80    884       
313.90    788       
314.00    794       
314.10    786       
314.20    924       
314.30    776       
314.40    823       
314.50    766       
314.60    840       
314.70    833       
314.80    873       
314.90    752       
315.00    786       
315.10    746       
315.20    811       
315.30    817       
315.40    813       
315.50    801       
315.60    821       
315.70    899       
315.80    848       
315.90    846       
316.00    753       
316.10    822       
316.20    768       
316.30    832       
316.40    820       
316.50    805       
316.60    850       
316.70    814       
316.80    770       
316.90    947       
317.00    808       
317.10    881       
317.20    776       
317.30    800       
317.40    805       
317.50    982       
317.60    787       
317.70    773       
317.80    828       
317.90    788       
318.00    810       
318.10    787       
318.20    787       
318.30    804       
318.40    763       
318.50    778       
318.60    855       
318.70    809       
318.80    865       
318.90    837       
319.00    900       
319.10    802       
319.20    781       
319.30    835       
319.40    799       
319.50    786       
319.60    771       
319.70    765       
319.80    779       
319.90    790       
320.00    895       
320.10    841       
320.20    866       
320.30    805       
320.40    806       
320.50    814       
320.60    829       
320.70    818       
320.80    774       
320.90    886       
321.00    807       
321.10    757       
