Wavelength    Value   
587.00    844       
587.01    900       
587.01    874       
587.02    768       
587.02    786       
587.03    780       
587.03    848       
587.04    886       
587.04    842       
587.04    886       
587.05    915       
587.06    816       
587.06    769       
587.07    898       
587.07    810       
587.08    799       
587.08    806       
587.09    811       
587.09    826       
587.09    818       
587.10    787       
587.11    919       
587.11    852       
587.12    835       
587.12    843       
587.13    881       
587.13    797       
587.14    902       
587.14    856       
587.14    880       
587.15    844       
587.16    833       
587.16    792       
587.16    858       
587.17    885       
587.18    849       
587.18    794       
587.19    830       
587.19    818       
587.20    875       
587.20    779       
587.21    832       
587.21    859       
587.21    773       
587.22    890       
587.23    831       
587.23    820       
587.24    812       
587.24    768       
587.25    783       
587.25    855       
587.26    886       
587.26    807       
587.26    829       
587.27    806       
587.28    755       
587.28    831       
587.29    886       
587.29    779       
587.30    809       
587.30    839       
587.31    852       
587.31    830       
587.32    884       
587.32    905       
587.33    847       
587.33    830       
587.33    863       
587.34    863       
587.35    850       
587.35    837       
587.36    848       
587.36    798       
587.37    834       
587.37    858       
587.38    838       
587.38    823       
587.38    921       
587.39    896       
587.40    963       
587.40    824       
587.41    832       
587.41    786       
587.42    883       
587.42    861       
587.43    859       
587.43    796       
587.43    801       
587.44    832       
587.45    818       
587.45    836       
587.45    825       
587.46    836       
587.47    768       
587.47    794       
587.48    779       
587.48    837       
587.49    786       
587.49    792       
587.50    881       
587.50    828       
587.50    795       
587.51    799       
587.52    789       
587.52    817       
587.53    754       
587.53    833       
587.54    845       
587.54    840       
587.55    752       
587.55    862       
587.55    845       
587.56    887       
587.57    836       
587.57    861       
587.58    812       
587.58    761       
587.59    845       
587.59    904       
587.60    933       
587.60    804       
587.61    806       
587.61    807       
587.62    829       
587.62    838       
587.62    822       
587.63    825       
587.64    767       
587.64    809       
587.65    812       
587.65    829       
587.66    805       
587.66    840       
587.67    779       
587.67    846       
587.67    885       
587.68    856       
587.69    780       
587.69    778       
587.70    810       
587.70    834       
587.71    782       
587.71    788       
587.72    794       
587.72    771       
587.72    806       
587.73    797       
587.74    778       
587.74    785       
587.74    784       
587.75    777       
587.76    757       
587.76    785       
587.77    877       
587.77    779       
587.78    842       
587.78    802       
587.79    797       
587.79    857       
587.79    790       
587.80    832       
587.81    801       
587.81    835       
587.82    849       
587.82    784       
587.83    844       
587.83    773       
587.84    767       
587.84    797       
587.84    773       
587.85    845       
587.86    831       
587.86    802       
587.87    836       
587.87    938       
587.88    854       
587.88    786       
587.89    778       
587.89    804       
587.90    803       
587.90    814       
587.91    801       
587.91    845       
587.91    852       
587.92    784       
587.93    853       
587.93    819       
587.94    778       
587.94    838       
587.95    765       
587.95    888       
587.96    839       
587.96    896       
587.96    817       
587.97    769       
587.98    822       
587.98    800       
587.99    837       
587.99    780       
588.00    807       
588.00    827       
588.01    890       
588.01    776       
588.02    849       
588.02    808       
588.03    815       
588.03    783       
588.03    800       
588.04    829       
588.05    802       
588.05    911       
588.06    762       
588.06    809       
588.07    819       
588.07    859       
588.08    818       
588.08    853       
588.08    851       
588.09    784       
588.10    780       
588.10    791       
588.11    781       
588.11    812       
588.12    837       
588.12    830       
588.13    787       
588.13    856       
588.13    771       
588.14    791       
588.15    862       
588.15    841       
588.15    855       
588.16    840       
588.17    878       
588.17    841       
588.18    837       
588.18    818       
588.19    886       
588.19    840       
588.20    858       
588.20    799       
588.20    830       
588.21    904       
588.22    808       
588.22    808       
588.23    821       
588.23    919       
588.24    878       
588.24    843       
588.25    843       
588.25    899       
588.25    840       
588.26    863       
588.27    831       
588.27    834       
588.28    843       
588.28    849       
588.29    847       
588.29    896       
588.30    872       
588.30    845       
588.31    815       
588.31    835       
588.32    834       
588.32    830       
588.32    781       
588.33    816       
588.34    845       
588.34    829       
588.35    846       
588.35    812       
588.36    833       
588.36    790       
588.37    914       
588.37    823       
588.37    831       
588.38    837       
588.39    784       
588.39    919       
588.40    884       
588.40    894       
588.41    869       
588.41    822       
588.42    784       
588.42    910       
588.42    856       
588.43    930       
588.44    858       
588.44    784       
588.44    873       
588.45    797       
588.46    762       
588.46    799       
588.47    859       
588.47    800       
588.48    871       
588.48    889       
588.49    782       
588.49    839       
588.49    816       
588.50    838       
588.51    805       
588.51    806       
588.52    779       
588.52    776       
588.53    806       
588.53    814       
588.54    774       
588.54    819       
588.54    789       
588.55    864       
588.56    837       
588.56    784       
588.57    825       
588.57    834       
588.58    832       
588.58    968       
588.59    802       
588.59    780       
588.60    773       
588.60    858       
588.61    831       
588.61    826       
588.61    813       
588.62    831       
588.63    770       
588.63    813       
588.64    763       
588.64    814       
588.65    799       
588.65    808       
588.66    769       
588.66    827       
588.66    853       
588.67    832       
588.68    773       
588.68    845       
588.69    831       
588.69    850       
588.70    805       
588.70    802       
588.71    803       
588.71    792       
588.72    811       
588.72    778       
588.73    792       
588.73    900       
588.73    832       
588.74    756       
588.75    767       
588.75    779       
588.76    804       
588.76    812       
588.77    803       
588.77    780       
588.78    772       
588.78    787       
588.78    778       
588.79    759       
588.80    792       
588.80    793       
588.81    851       
588.81    792       
588.82    784       
588.82    793       
588.83    813       
588.83    892       
588.83    797       
588.84    793       
588.85    832       
588.85    783       
588.85    818       
588.86    783       
588.87    821       
588.87    795       
588.88    797       
588.88    809       
588.89    793       
588.89    863       
588.90    954       
588.90    784       
588.90    809       
588.91    784       
588.92    805       
588.92    814       
588.93    831       
588.93    825       
588.94    806       
588.94    803       
588.95    821       
588.95    835       
588.95    813       
588.96    841       
588.97    887       
588.97    927       
588.98    911       
588.98    914       
588.99    1094      
588.99    1140      
589.00    1321      
589.00    1352      
589.01    1489      
589.01    1709      
589.02    1882      
589.02    2016      
589.02    2404      
589.03    2742      
589.04    2947      
589.04    3181      
589.05    3729      
589.05    4434      
589.06    4543      
589.06    4568      
589.07    4504      
589.07    4550      
589.07    4531      
589.08    4595      
589.09    4527      
589.09    4516      
589.10    4530      
589.10    4490      
589.11    4473      
589.11    4563      
589.12    4484      
589.12    4573      
589.13    4680      
589.13    4551      
589.14    4582      
589.14    4654      
589.14    4501      
589.15    4641      
589.16    4578      
589.16    4585      
589.17    4616      
589.17    4585      
589.18    4551      
589.18    4587      
589.19    4615      
589.19    4556      
589.19    4569      
589.20    4541      
589.21    4658      
589.21    4569      
589.22    4636      
589.22    4788      
589.23    4669      
589.23    4579      
589.24    4615      
589.24    4605      
589.24    4511      
589.25    4436      
589.26    4394      
589.26    3994      
589.26    3225      
589.27    2988      
589.28    2788      
589.28    2711      
589.29    2534      
589.29    2448      
589.30    2207      
589.30    2048      
589.31    1959      
589.31    1933      
589.31    1749      
589.32    1725      
589.33    1563      
589.33    1566      
589.34    1495      
589.34    1498      
589.35    1374      
589.35    1312      
589.36    1323      
589.36    1252      
589.36    1280      
589.37    1121      
589.38    1111      
589.38    1064      
589.38    1032      
589.39    1007      
589.40    979       
589.40    921       
589.41    897       
589.41    911       
589.42    937       
589.42    940       
589.43    862       
589.43    902       
589.43    893       
589.44    844       
589.45    918       
589.45    1072      
