WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8009.835	8023.275	8017.028	0		
192.734	6044.038	6058.555	6053.410	0		
193.105	4847.009	4864.941	4859.987	0		
193.475	5118.775	5142.952	5131.724	0		
193.846	-65.517	-49.883	-57.133	0		
194.217	-54.981	-49.373	-58.493	0		
194.587	-48.524	-38.499	-62.911	0		
194.958	-39.859	-28.816	-56.624	0		
195.329	-29.665	-23.041	-42.350	0		
195.699	-24.909	-12.340	-21.285	0		
196.070	-27.457	-10.642	-10.246	0		
196.440	-21.682	-10.642	6.056	0		
196.811	-10.982	-9.793	13.187	0		
197.182	-10.132	-4.528	12.508	0		
197.552	-3.849	2.094	7.924	0		
197.923	8.716	4.811	6.226	0		
198.293	20.091	7.018	7.245	0		
198.663	21.789	14.489	12.338	0		
199.034	39.781	27.560	29.824	0		
199.404	49.454	31.804	36.783	0		
199.775	47.588	41.139	49.681	0		
200.145	38.763	49.624	59.013	0		
200.516	50.982	51.830	55.789	0		
200.886	48.776	51.491	55.620	0		
201.256	50.303	56.581	55.789	0		
201.627	57.090	69.137	57.656	0		
201.997	72.699	79.994	61.898	0		
202.367	77.280	80.503	68.345	0		
202.737	83.047	96.107	70.381	0		
203.108	86.100	95.937	75.809	0		
203.478	82.029	92.545	77.336	0		
203.848	79.315	89.832	83.782	0		
204.218	82.029	98.990	103.795	0		
204.588	76.601	90.849	101.251	0		
204.959	86.609	101.364	99.046	0		
205.329	94.241	101.025	108.034	0		
205.699	100.177	103.399	104.134	0		
206.069	93.054	98.820	94.807	0		
206.439	108.656	101.364	98.368	0		
206.809	97.124	100.516	106.677	0		
207.179	90.849	112.386	106.847	0		
207.549	95.598	116.286	110.069	0		
207.919	97.463	123.576	102.947	0		
208.289	97.294	115.777	97.520	0		
208.659	94.920	115.099	87.344	0		
209.029	90.680	103.060	85.478	0		
209.399	85.591	100.346	76.149	0		
209.769	81.690	101.364	81.068	0		
210.139	84.404	93.732	88.192	0		
210.509	89.492	100.007	95.315	0		
210.879	88.644	104.416	88.022	0		
211.249	89.662	99.668	97.350	0		
211.618	86.270	90.680	99.725	0		
211.988	74.565	105.773	98.368	0		
212.358	73.547	98.990	105.321	0		
212.728	81.351	97.803	111.934	0		
213.098	69.476	95.768	105.999	0		
213.467	78.637	102.212	101.081	0		
213.837	77.280	98.990	96.672	0		
214.207	72.699	98.651	91.584	0		
214.576	76.940	97.294	92.432	0		
214.946	83.725	105.603	96.333	0		
215.316	77.788	112.556	91.415	0		
215.685	75.414	104.416	95.146	0		
216.055	81.011	102.551	88.531	0		
216.425	75.074	110.351	86.157	0		
216.794	70.155	101.025	93.789	0		
217.164	66.592	86.270	99.555	0		
217.533	67.270	84.234	96.502	0		
217.903	68.797	93.054	100.233	0		
218.272	65.913	88.814	100.912	0		
218.642	66.422	90.680	104.642	0		
219.011	64.047	94.241	99.216	0		
219.381	76.092	100.855	101.760	0		
219.750	74.056	94.241	93.280	0		
220.120	80.842	94.241	91.923	0		
220.489	86.100	97.294	76.658	0		
220.858	89.323	99.159	73.774	0		
221.228	86.439	97.633	64.952	0		
221.597	87.966	101.703	73.265	0		
221.966	89.662	98.651	67.157	0		
222.336	86.270	96.276	56.129	0		
222.705	86.948	88.983	62.237	0		
223.074	82.538	101.703	75.131	0		
223.443	81.181	83.895	80.389	0		
223.813	78.128	87.118	85.309	0		
224.182	83.895	86.948	106.169	0		
224.551	81.351	97.803	110.238	0		
224.920	80.163	81.690	105.660	0		
225.289	86.439	91.528	99.216	0		
225.658	83.895	94.920	95.146	0		
226.027	79.146	91.019	88.870	0		
226.397	79.824	90.171	90.227	0		
226.766	77.788	94.750	93.619	0		
227.135	70.833	92.884	93.111	0		
227.504	70.324	86.270	98.538	0		
227.873	73.039	98.990	106.169	0		
228.242	74.396	101.703	102.947	0		
228.611	78.806	107.808	103.116	0		
228.980	74.735	117.981	110.577	0		
229.349	66.931	121.881	108.373	0		
229.717	64.047	110.860	94.467	0		
230.086	69.306	96.955	90.906	0		
230.455	59.296	86.948	93.450	0		
230.824	65.235	88.475	90.227	0		
231.193	78.128	84.404	95.654	0		
231.562	77.619	85.930	102.438	0		
231.931	75.583	101.873	105.999	0		
232.299	81.011	114.760	97.181	0		
232.668	75.244	101.873	98.198	0		
233.037	74.056	103.908	100.064	0		
233.406	74.226	107.299	90.058	0		
233.774	70.494	103.229	86.496	0		
234.143	68.967	86.948	95.146	0		
234.512	69.476	100.686	95.654	0		
234.880	71.342	99.668	86.157	0		
235.249	73.039	94.580	94.467	0		
235.617	77.449	91.358	89.888	0		
235.986	73.039	102.042	89.210	0		
236.355	70.494	93.902	78.184	0		
236.723	67.610	92.884	86.496	0		
237.092	77.110	99.159	80.050	0		
237.460	74.396	97.633	91.415	0		
237.829	87.118	95.259	82.425	0		
238.197	97.463	94.920	91.923	0		
238.566	96.107	103.738	88.192	0		
238.934	83.386	98.481	88.531	0		
239.302	82.708	101.703	82.595	0		
239.671	81.181	108.995	93.959	0		
240.039	73.547	109.164	83.443	0		
240.407	74.396	99.668	90.736	0		
240.776	83.725	102.551	95.824	0		
241.144	85.761	99.159	94.976	0		
241.512	78.976	94.580	87.853	0		
241.881	86.948	100.516	99.216	0		
242.249	87.796	98.990	90.906	0		
242.617	82.538	102.042	95.994	0		
242.985	83.725	105.434	92.941	0		
243.353	93.563	113.742	98.029	0		
243.722	91.358	104.586	95.824	0		
244.090	93.563	109.843	100.403	0		
244.458	87.457	99.838	95.654	0		
244.826	92.545	100.686	99.216	0		
245.194	86.439	90.849	98.368	0		
245.562	88.305	98.311	93.619	0		
245.930	85.930	94.920	89.040	0		
246.298	97.294	98.142	92.093	0		
246.666	86.100	92.036	89.549	0		
247.034	84.404	97.633	78.184	0		
247.402	79.994	96.785	82.595	0		
247.770	80.503	91.188	88.701	0		
248.138	73.378	93.902	87.005	0		
248.506	73.717	96.785	88.531	0		
