Wavelength,Nothing,Pure_water,Empty_cuvette,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,
400,NAN,0.076,-0.011,0.378,0.076,0.161,-0.115,0.134,-0.106,0.060,-0.036,0.311,0.192,0.232,
401,-1.134,0.579,0.025,0.172,0.139,0.104,0.054,0.001,0.012,0.139,0.127,0.076,0.049,0.123,
402,-1.177,0.818,-0.078,0.199,0.128,-0.181,0.188,-0.032,0.060,0.363,0.122,-0.055,0.028,0.279,
403,NAN,NAN,-0.058,0.432,0.306,-0.057,0.374,0.239,0.107,0.259,0.359,0.064,0.241,0.401,
404,NAN,NAN,-0.252,0.272,0.231,-0.080,0.178,-0.027,0.102,0.195,-0.064,-0.055,-0.010,-0.048,
405,-1.230,-0.330,-0.260,0.157,0.084,-0.001,-0.130,-0.084,0.286,0.935,-0.126,-0.160,-0.233,-0.089,
406,0.183,-0.136,-0.189,0.013,-0.218,0.100,-0.234,-0.046,0.237,0.254,0.208,-0.082,-0.141,-0.045,
407,-0.824,-0.069,-0.463,-0.167,-0.707,-0.310,-0.601,-0.508,-0.360,-0.548,-0.514,0.023,NAN,-0.336,
408,-0.387,NAN,-0.053,-0.157,-0.296,-0.139,-0.236,-0.321,-0.270,-0.090,-0.387,-0.158,0.154,-0.094,
409,-0.294,NAN,-0.269,-0.249,-0.175,-0.236,-0.230,-0.241,-0.193,-0.069,0.047,-0.194,-0.111,0.032,
410,-0.550,-0.164,-0.264,-0.257,-0.143,-0.203,-0.277,-0.243,-0.009,0.045,0.000,0.048,-0.078,0.080,
411,-0.385,0.196,0.423,0.001,0.113,0.278,0.150,0.021,0.246,NAN,0.295,1.433,0.208,0.076,
412,-0.473,0.786,-0.165,0.080,0.121,-0.095,-0.098,0.187,-0.199,0.682,0.677,0.496,0.015,0.124,
413,-0.703,-0.087,-0.399,0.691,NAN,0.231,0.133,0.269,-0.315,0.897,0.614,0.556,-0.197,NAN,
414,-0.122,-0.557,-0.098,0.035,0.119,0.132,-0.216,-0.217,0.039,0.336,-0.136,0.173,-0.302,0.387,
415,-1.007,-0.456,-0.088,-0.209,-0.311,-0.237,-0.423,-0.347,0.053,-0.174,-0.194,-0.142,-0.172,0.095,
416,-1.053,0.291,-0.157,0.088,-0.202,-0.080,-0.296,-0.237,-0.104,-0.105,0.079,-0.024,-0.079,0.043,
417,0.934,0.061,-0.198,0.103,-0.011,-0.013,-0.100,-0.077,-0.088,-0.210,0.231,-0.058,0.131,0.105,
418,-0.724,-0.520,-0.281,-0.149,0.089,-0.063,-0.051,-0.186,0.037,-0.216,0.074,-0.196,0.477,-0.065,
419,NAN,NAN,-0.489,-0.314,0.474,-0.196,-0.104,-0.342,-0.117,0.039,0.067,-0.263,0.067,0.072,
420,NAN,-0.335,-0.308,-0.301,0.218,0.092,0.097,-0.170,0.060,0.313,0.118,-0.078,0.241,NAN,
421,NAN,0.053,-0.396,-0.247,-0.205,NAN,-0.379,-0.228,-0.163,-0.136,0.171,-0.421,0.204,1.194,
422,NAN,0.428,-0.376,-0.086,-0.197,0.113,-0.576,-0.360,-0.072,-0.255,0.256,-0.291,0.291,-0.090,
423,-0.333,0.290,-0.501,-0.381,0.028,-0.135,-0.568,-0.515,0.613,0.397,-0.066,0.470,NAN,-0.028,
424,-0.765,NAN,-0.312,-0.272,0.173,-0.121,-0.225,-0.203,0.065,-0.063,-0.167,-0.066,0.086,0.195,
425,NAN,NAN,-0.118,-0.146,-0.025,-0.024,-0.128,0.041,0.334,-0.066,0.185,0.020,-0.007,0.164,
426,NAN,0.346,-0.090,-0.062,-0.081,-0.086,-0.194,-0.060,0.072,0.139,0.339,0.212,-0.032,0.046,
427,NAN,0.626,-0.515,-0.250,-0.276,-0.448,-0.419,-0.220,-0.311,-0.291,0.494,NAN,0.108,-0.178,
428,-1.586,0.338,-0.181,0.199,0.039,-0.001,-0.153,0.124,-0.048,0.132,1.096,0.577,NAN,0.095,
429,NAN,0.051,-0.168,-0.133,-0.087,-0.176,-0.183,-0.077,-0.160,0.241,0.100,0.146,0.177,0.016,
430,NAN,0.889,-0.141,-0.404,-0.295,-0.427,-0.303,-0.375,-0.165,-0.064,-0.049,0.215,-0.007,-0.239,
431,NAN,0.199,-0.285,-0.336,-0.214,-0.372,0.046,-0.203,0.039,-0.005,0.339,0.227,0.778,-0.094,
432,-1.116,0.486,-0.270,-0.138,0.070,-0.101,-0.068,0.033,-0.011,0.202,0.162,-0.042,0.131,0.354,
433,NAN,0.096,-0.107,-0.165,0.295,-0.192,0.023,-0.288,0.087,0.041,0.219,-0.138,-0.085,NAN,
434,NAN,NAN,-0.269,-0.404,0.827,-0.345,-0.014,-0.302,0.208,0.007,0.124,0.041,0.228,-0.120,
435,NAN,0.439,-0.664,-0.346,-0.003,-0.631,-0.590,-0.372,-0.118,0.254,-0.416,0.290,-0.191,-0.578,
436,NAN,-0.856,-0.422,-0.174,-0.236,-0.410,-0.432,-0.243,-0.082,0.048,-0.134,0.114,-0.078,-0.244,
437,NAN,NAN,-0.285,-0.367,-0.339,-0.275,-0.229,-0.170,-0.195,0.091,-0.153,-0.311,NAN,-0.028,
438,0.420,NAN,-0.211,-0.113,0.274,0.103,-0.315,-0.097,-0.108,0.635,-0.095,1.388,NAN,-0.190,
439,NAN,-0.822,-0.130,0.425,NAN,0.338,-0.008,0.142,0.205,1.320,0.249,NAN,0.696,0.560,
440,NAN,-0.688,-0.108,0.168,0.672,-0.029,0.122,-0.005,0.360,0.071,0.116,0.548,0.355,0.504,
441,NAN,0.121,-0.261,0.019,0.879,0.154,-0.002,-0.051,NAN,0.071,0.213,0.308,NAN,0.465,
442,NAN,-0.157,-0.112,0.459,NAN,0.289,0.207,-0.053,NAN,1.638,0.730,0.831,NAN,0.598,
443,NAN,-0.264,0.116,0.188,0.293,0.110,0.270,0.143,0.302,0.326,0.339,0.497,0.294,0.355,
444,NAN,-0.069,-0.116,0.101,0.065,0.041,0.117,0.003,0.300,-0.004,0.085,0.227,0.306,0.316,
445,NAN,0.060,-0.813,-0.116,-0.196,-0.509,-0.105,-0.612,-0.266,-0.459,0.729,-0.271,0.233,0.492,
446,NAN,-1.210,-0.482,-0.212,-0.013,-0.269,-0.076,-0.204,-0.176,-0.430,1.788,0.205,0.134,NAN,
447,0.590,NAN,-0.173,-0.062,0.090,-0.048,0.026,-0.101,0.088,0.110,0.396,0.293,0.177,0.093,
448,NAN,-1.007,-0.267,-0.084,0.011,-0.069,-0.087,-0.164,0.039,0.466,0.238,0.171,-0.062,-0.034,
449,NAN,-0.696,-0.047,0.107,0.033,0.004,0.021,0.088,0.148,0.417,0.202,0.297,0.099,0.018,
450,0.866,-0.528,-0.050,0.134,0.154,0.093,0.112,0.049,0.164,0.147,0.257,0.143,0.458,0.085,
451,NAN,-0.501,-0.218,-0.023,0.033,-0.075,-0.197,-0.192,0.059,0.056,0.098,0.190,0.218,0.238,
452,NAN,0.224,-0.200,0.057,0.075,-0.116,-0.095,-0.151,-0.007,0.036,0.133,0.254,0.134,0.102,
453,NAN,NAN,-0.362,-0.099,-0.032,-0.171,-0.065,-0.201,-0.055,0.145,0.315,0.341,0.115,-0.004,
454,NAN,0.088,-0.492,-0.074,-0.129,-0.227,-0.310,-0.214,0.022,0.718,NAN,NAN,0.334,0.432,
455,NAN,-0.257,-0.213,0.066,-0.043,-0.002,-0.205,0.114,0.542,0.164,0.544,0.883,0.100,1.487,
456,NAN,-1.444,-0.236,-0.144,-0.075,0.025,-0.230,0.055,0.153,0.057,0.015,0.962,0.108,NAN,
457,NAN,-0.784,-0.354,-0.203,-0.260,-0.051,-0.190,-0.098,-0.073,-0.126,0.024,0.257,0.334,NAN,
458,NAN,0.124,-0.279,-0.124,-0.103,-0.069,-0.014,0.057,-0.016,0.083,0.028,0.299,0.131,0.354,
459,NAN,0.017,-0.142,0.039,0.243,0.134,0.731,0.162,0.418,1.470,0.891,NAN,0.467,0.432,
460,NAN,-0.217,-0.097,-0.020,0.151,0.130,0.287,0.116,0.376,0.448,1.485,0.665,0.651,0.221,
461,NAN,-1.189,-0.187,0.053,0.011,0.138,0.007,0.190,0.180,0.262,0.274,0.386,0.527,0.497,
462,NAN,-0.300,-0.163,0.070,0.139,0.167,0.008,0.111,0.450,0.387,0.210,0.433,0.223,0.325,
463,NAN,-0.228,-0.088,0.230,0.180,0.215,0.098,0.153,0.828,0.512,0.652,0.452,0.295,0.360,
464,NAN,-0.333,-0.189,0.168,0.156,0.136,0.276,0.192,0.615,0.634,0.514,1.050,0.485,0.295,
465,NAN,0.337,-0.210,-0.050,0.233,0.238,0.247,0.242,0.216,0.356,0.206,0.605,0.416,0.211,
466,-2.884,0.360,-0.137,0.040,0.124,0.318,0.191,0.115,0.177,0.256,0.262,0.465,0.498,0.505,
467,-1.122,0.025,-0.090,0.013,0.110,0.151,0.123,0.141,0.349,0.299,0.312,0.367,0.586,0.477,
468,NAN,-0.089,-0.180,0.005,0.006,0.229,0.047,0.281,0.369,0.360,0.385,0.486,0.450,0.277,
469,NAN,0.138,-0.309,0.076,0.070,0.055,0.089,0.156,0.266,0.404,0.521,0.425,0.566,0.559,
470,-1.409,0.026,-0.401,0.103,0.075,-0.071,0.150,0.065,0.385,NAN,0.596,0.344,0.859,1.530,
