WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8009.835	8023.275	8019.075	0		
192.734	6044.038	6058.555	6053.023	0		
193.105	4847.009	4864.941	4858.425	0		
193.475	5118.775	5142.952	5133.389	0		
193.846	-65.517	-49.883	-48.241	0		
194.217	-54.981	-49.373	-46.711	0		
194.587	-48.524	-38.499	-44.333	0		
194.958	-39.859	-28.816	-38.046	0		
195.329	-29.665	-23.041	-31.251	0		
195.699	-24.909	-12.340	-36.687	0		
196.070	-27.457	-10.642	-37.367	0		
196.440	-21.682	-10.642	-29.212	0		
196.811	-10.982	-9.793	-21.059	0		
197.182	-10.132	-4.528	-13.925	0		
197.552	-3.849	2.094	-2.208	0		
197.923	8.716	4.811	16.300	0		
198.293	20.091	7.018	30.050	0		
198.663	21.789	14.489	37.688	0		
199.034	39.781	27.560	45.155	0		
199.404	49.454	31.804	60.936	0		
199.775	47.588	41.139	66.366	0		
200.145	38.763	49.624	69.080	0		
200.516	50.982	51.830	77.562	0		
200.886	48.776	51.491	84.347	0		
201.256	50.303	56.581	82.651	0		
201.627	57.090	69.137	82.482	0		
201.997	72.699	79.994	87.400	0		
202.367	77.280	80.503	83.330	0		
202.737	83.047	96.107	86.383	0		
203.108	86.100	95.937	96.729	0		
203.478	82.029	92.545	104.529	0		
203.848	79.315	89.832	110.973	0		
204.218	82.029	98.990	120.468	0		
204.588	76.601	90.849	112.499	0		
204.959	86.609	101.364	109.277	0		
205.329	94.241	101.025	108.430	0		
205.699	100.177	103.399	102.494	0		
206.069	93.054	98.820	98.764	0		
206.439	108.656	101.364	116.229	0		
206.809	97.124	100.516	120.129	0		
207.179	90.849	112.386	120.129	0		
207.549	95.598	116.286	122.672	0		
207.919	97.463	123.576	127.249	0		
208.289	97.294	115.777	125.554	0		
208.659	94.920	115.099	115.721	0		
209.029	90.680	103.060	118.772	0		
209.399	85.591	100.346	114.534	0		
209.769	81.690	101.364	117.246	0		
210.139	84.404	93.732	114.534	0		
210.509	89.492	100.007	116.060	0		
210.879	88.644	104.416	118.264	0		
211.249	89.662	99.668	112.329	0		
211.618	86.270	90.680	104.699	0		
211.988	74.565	105.773	100.799	0		
212.358	73.547	98.990	101.647	0		
212.728	81.351	97.803	92.489	0		
213.098	69.476	95.768	92.149	0		
213.467	78.637	102.212	93.167	0		
213.837	77.280	98.990	104.190	0		
214.207	72.699	98.651	95.541	0		
214.576	76.940	97.294	107.751	0		
214.946	83.725	105.603	113.686	0		
215.316	77.788	112.556	116.907	0		
215.685	75.414	104.416	111.312	0		
216.055	81.011	102.551	122.672	0		
216.425	75.074	110.351	116.568	0		
216.794	70.155	101.025	117.246	0		
217.164	66.592	86.270	118.264	0		
217.533	67.270	84.234	109.108	0		
217.903	68.797	93.054	101.307	0		
218.272	65.913	88.814	89.775	0		
