WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8140.808	8149.240	8011.043	0		
192.734	6150.606	6153.213	6045.665	0		
193.105	4940.826	4940.617	4858.425	0		
193.475	5202.069	5197.113	5132.905	0		
193.846	-43.633	-58.636	-59.796	0		
194.217	-41.384	-49.220	-50.280	0		
194.587	-40.125	-44.872	-46.372	0		
194.958	-36.377	-40.735	-43.143	0		
195.329	-31.401	-34.738	-34.649	0		
195.699	-26.275	-27.304	-23.267	0		
196.070	-19.650	-21.968	-15.284	0		
196.440	-14.765	-14.685	-3.736	0		
196.811	-12.457	-8.721	-2.887	0		
197.182	-6.103	0.180	7.301	0		
197.552	3.516	9.978	15.960	0		
197.923	11.726	17.768	19.016	0		
198.293	20.624	23.160	25.467	0		
198.663	32.247	28.702	29.541	0		
199.034	37.488	34.543	27.334	0		
199.404	41.561	37.119	31.238	0		
199.775	46.233	41.611	37.518	0		
200.145	52.612	45.505	45.664	0		
200.516	56.625	53.051	62.972	0		
200.886	63.062	58.531	62.294	0		
201.256	63.122	63.891	74.339	0		
201.627	68.451	67.753	81.633	0		
201.997	71.864	74.339	76.714	0		
202.367	74.199	79.548	84.178	0		
202.737	75.247	84.218	96.389	0		
203.108	84.407	84.966	86.213	0		
203.478	89.286	89.246	91.641	0		
203.848	90.394	90.833	98.594	0		
204.218	93.327	90.054	86.383	0		
204.588	97.187	91.641	89.945	0		
204.959	98.863	95.921	97.916	0		
205.329	99.941	97.327	97.237	0		
205.699	102.485	98.345	103.512	0		
206.069	101.736	101.577	111.143	0		
206.439	104.519	101.128	105.547	0		
206.809	101.228	101.756	106.903	0		
207.179	102.185	104.988	105.716	0		
207.549	101.497	109.387	99.103	0		
207.919	102.844	110.285	104.360	0		
208.289	98.714	110.823	105.038	0		
208.659	98.235	108.669	97.407	0		
209.029	97.098	106.574	98.255	0		
209.399	95.003	101.248	101.477	0		
209.769	95.212	101.457	93.337	0		
210.139	92.578	98.943	99.442	0		
210.509	96.409	100.769	104.190	0		
210.879	94.135	96.040	100.799	0		
211.249	96.140	95.112	91.641	0		
211.618	94.644	93.885	89.266	0		
211.988	103.023	95.681	82.142	0		
212.358	100.749	93.077	76.544	0		
212.728	101.856	95.292	68.741	0		
213.098	97.906	95.202	76.036	0		
213.467	96.888	93.466	78.071	0		
213.837	92.459	91.940	88.927	0		
214.207	91.321	89.905	97.068	0		
214.576	91.022	88.288	107.412	0		
214.946	91.710	89.097	106.734	0		
215.316	92.698	90.324	103.342	0		
215.685	90.843	92.179	95.372	0		
216.055	91.710	93.197	91.980	0		
216.425	89.346	93.227	89.605	0		
216.794	87.580	94.544	86.383	0		
217.164	89.107	92.928	85.195	0		
217.533	90.214	90.862	91.132	0		
217.903	88.747	89.486	88.418	0		
218.272	87.909	92.269	89.945	0		
218.642	89.645	90.773	91.132	0		
219.011	86.413	88.618	95.372	0		
219.381	83.898	89.875	93.845	0		
219.750	83.030	94.215	100.120	0		
220.120	83.689	94.604	102.155	0		
220.489	80.576	95.771	103.173	0		
220.858	81.444	99.721	107.412	0		
221.228	81.414	94.574	103.682	0		
221.597	81.683	91.581	101.816	0		
221.966	79.378	86.762	101.477	0		
222.336	81.534	85.385	93.506	0		
222.705	81.623	80.925	84.347	0		
223.074	82.312	87.181	91.641	0		
223.443	83.419	87.540	96.389	0		
223.813	85.365	88.887	98.764	0		
224.182	86.083	86.223	102.494	0		
224.551	86.922	88.049	103.851	0		
224.920	89.017	82.871	101.138	0		
225.289	90.124	79.488	93.845	0		
225.658	89.975	80.536	92.828	0		
226.027	90.633	85.774	99.272	0		
226.397	87.161	87.151	99.612	0		
226.766	88.089	88.648	93.506	0		
227.135	82.970	93.377	105.038	0		
227.504	85.874	93.616	98.933	0		
227.873	86.473	92.838	100.968	0		
228.242	89.945	92.748	110.125	0		
228.611	89.136	94.424	107.921	0		
228.980	95.901	93.616	98.594	0		
229.349	96.918	90.443	97.237	0		
229.717	97.128	87.031	87.400	0		
230.086	93.985	87.121	79.598	0		
230.455	92.279	86.941	80.785	0		
230.824	87.909	86.283	80.616	0		
231.193	82.821	92.359	84.347	0		
231.562	82.551	94.813	86.892	0		
231.931	87.939	95.142	86.552	0		
232.299	88.687	95.651	89.097	0		
232.668	90.423	96.100	96.729	0		
233.037	95.092	91.820	92.149	0		
233.406	94.494	89.665	102.325	0		
233.774	90.902	87.151	108.090	0		
234.143	91.501	84.517	109.616	0		
234.512	91.531	86.373	102.834	0		
234.880	90.034	87.301	100.120	0		
235.249	88.239	90.084	93.506	0		
235.617	91.351	88.258	90.284	0		
235.986	92.848	90.892	84.178	0		
236.355	92.968	93.317	86.213	0		
236.723	94.254	96.429	100.290	0		
237.092	99.133	94.873	104.869	0		
237.460	98.414	100.380	106.564	0		
237.829	96.768	100.529	114.534	0		
238.197	99.761	94.903	114.534	0		
238.566	99.193	94.185	109.447	0		
238.934	100.300	92.239	111.651	0		
239.302	99.073	87.331	110.973	0		
239.671	100.120	84.128	108.260	0		
240.039	98.265	83.619	111.651	0		
240.407	99.612	78.081	111.651	0		
240.776	95.182	79.877	102.325	0		
241.144	95.302	83.469	101.647	0		
241.512	92.638	85.385	98.594	0		
241.881	92.339	87.959	91.980	0		
242.249	88.867	91.581	84.347	0		
242.617	85.934	89.725	88.757	0		
242.985	87.760	88.318	85.195	0		
243.353	88.538	88.288	94.015	0		
243.722	88.089	90.833	106.395	0		
244.090	90.543	90.114	104.021	0		
244.458	94.314	91.461	99.612	0		
244.826	95.003	91.042	98.764	0		
245.194	97.427	89.186	102.325	0		
245.562	95.152	86.912	93.506	0		
245.930	94.344	88.348	104.360	0		
246.298	96.379	92.389	109.956	0		
