WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
192.363	8140.808	8022.698	8008.523	0		
192.734	6150.606	6061.234	6052.837	0		
193.105	4940.826	4864.618	4856.702	0		
193.475	5202.069	5138.761	5132.637	0		
193.846	-43.633	-48.014	-52.262	0		
194.217	-41.384	-48.184	-41.048	0		
194.587	-40.125	-52.432	-48.014	0		
194.958	-36.377	-49.373	-36.121	0		
195.329	-31.401	-37.820	-33.743	0		
195.699	-26.275	-28.306	-30.685	0		
196.070	-19.650	-25.758	-32.553	0		
196.440	-14.765	-16.247	-19.644	0		
196.811	-12.457	-4.868	-22.191	0		
197.182	-6.103	0.226	-13.529	0		
197.552	3.516	-1.981	4.641	0		
197.923	11.726	14.149	18.224	0		
198.293	20.624	28.579	24.505	0		
198.663	32.247	31.295	35.877	0		
199.034	37.488	37.575	47.248	0		
199.404	41.561	52.848	43.006	0		
199.775	46.233	52.509	52.000	0		
200.145	52.612	53.527	63.368	0		
200.516	56.625	59.296	67.440	0		
200.886	63.062	63.877	69.985	0		
201.256	63.122	65.065	70.324	0		
201.627	68.451	74.226	68.288	0		
201.997	71.864	74.735	61.502	0		
202.367	74.199	74.905	67.270	0		
202.737	75.247	78.467	66.931	0		
203.108	84.407	82.199	73.887	0		
203.478	89.286	77.619	76.940	0		
203.848	90.394	73.887	84.234	0		
204.218	93.327	79.994	87.118	0		
204.588	97.187	78.976	92.036	0		
204.959	98.863	81.860	93.393	0		
205.329	99.941	86.439	102.721	0		
205.699	102.485	107.977	108.995	0		
206.069	101.736	106.112	109.503	0		
206.439	104.519	109.673	117.303	0		
206.809	101.228	109.673	120.694	0		
207.179	102.185	116.116	116.794	0		
207.549	101.497	108.147	113.064	0		
207.919	102.844	111.199	115.777	0		
208.289	98.714	113.742	112.725	0		
208.659	98.235	116.625	113.403	0		
209.029	97.098	117.133	115.438	0		
209.399	95.003	115.099	113.403	0		
209.769	95.212	110.012	111.369	0		
210.139	92.578	113.064	107.977	0		
210.509	96.409	108.147	105.603	0		
210.879	94.135	96.107	92.545	0		
211.249	96.140	92.715	100.177	0		
211.618	94.644	104.925	101.025	0		
211.988	103.023	91.358	102.381	0		
212.358	100.749	98.820	103.399	0		
212.728	101.856	100.007	116.964	0		
213.098	97.906	92.715	107.130	0		
213.467	96.888	87.287	105.434	0		
213.837	92.459	82.538	102.381	0		
214.207	91.321	81.520	96.107	0		
214.576	91.022	86.948	85.761	0		
214.946	91.710	97.633	83.217	0		
215.316	92.698	87.457	78.637	0		
215.685	90.843	92.036	80.672	0		
216.055	91.710	83.556	81.690	0		
216.425	89.346	80.842	90.340	0		
216.794	87.580	74.396	95.598	0		
217.164	89.107	83.047	93.732	0		
217.533	90.214	90.680	97.803	0		
217.903	88.747	90.171	101.194	0		
218.272	87.909	88.135	100.346	0		
218.642	89.645	89.323	105.773	0		
219.011	86.413	99.838	114.929	0		
219.381	83.898	101.194	107.130	0		
219.750	83.030	101.703	102.721	0		
220.120	83.689	99.329	95.598	0		
220.489	80.576	98.651	93.224	0		
220.858	81.444	84.743	90.849	0		
221.228	81.414	73.378	88.814	0		
221.597	81.683	72.021	93.224	0		
221.966	79.378	77.449	96.107	0		
222.336	81.534	74.735	96.276	0		
222.705	81.623	75.414	87.457	0		
223.074	82.312	91.358	90.680	0		
223.443	83.419	94.920	90.849	0		
223.813	85.365	96.446	85.761	0		
224.182	86.083	107.130	76.262	0		
224.551	86.922	117.642	83.047	0		
224.920	89.017	109.843	89.153	0		
225.289	90.124	119.168	90.510	0		
225.658	89.975	121.711	100.346	0		
226.027	90.633	115.099	99.668	0		
226.397	87.161	104.756	100.516	0		
226.766	88.089	103.908	86.779	0		
227.135	82.970	89.832	88.475	0		
227.504	85.874	79.994	83.895	0		
227.873	86.473	84.065	93.393	0		
228.242	89.945	84.065	83.895	0		
228.611	89.136	83.217	88.983	0		
228.980	95.901	82.708	81.690	0		
229.349	96.918	84.234	86.100	0		
229.717	97.128	77.788	80.672	0		
230.086	93.985	87.966	89.153	0		
230.455	92.279	86.948	100.686	0		
230.824	87.909	95.259	98.990	0		
231.193	82.821	97.972	91.867	0		
231.562	82.551	100.346	88.644	0		
231.931	87.939	98.990	84.743	0		
232.299	88.687	102.042	75.074	0		
232.668	90.423	94.580	83.047	0		
233.037	95.092	98.142	82.538	0		
233.406	94.494	99.159	91.019	0		
233.774	90.902	94.072	93.732	0		
234.143	91.501	97.633	93.054	0		
234.512	91.531	104.077	90.171	0		
234.880	90.034	106.451	96.276	0		
235.249	88.239	103.738	98.990	0		
235.617	91.351	101.364	105.095	0		
235.986	92.848	94.580	107.638	0		
236.355	92.968	83.725	103.738	0		
236.723	94.254	74.396	101.534	0		
237.092	99.133	69.306	95.089	0		
237.460	98.414	59.975	87.627	0		
237.829	96.768	64.726	84.234	0		
238.197	99.761	69.646	91.019	0		
238.566	99.193	67.270	91.867	0		
238.934	100.300	79.146	81.690	0		
239.302	99.073	92.884	77.958	0		
239.671	100.120	99.499	75.583	0		
240.039	98.265	110.351	87.457	0		
240.407	99.612	108.825	95.259	0		
240.776	95.182	105.434	113.403	0		
241.144	95.302	110.351	114.590	0		
241.512	92.638	103.738	115.099	0		
241.881	92.339	91.528	100.007	0		
242.249	88.867	104.247	95.768	0		
242.617	85.934	104.416	87.627	0		
242.985	87.760	91.528	95.598	0		
243.353	88.538	83.386	96.785	0		
243.722	88.089	83.895	95.937	0		
244.090	90.543	80.503	98.311	0		
244.458	94.314	73.378	97.803	0		
244.826	95.003	82.029	95.937	0		
245.194	97.427	89.153	96.107	0		
245.562	95.152	90.680	94.920	0		
245.930	94.344	76.601	92.545	0		
246.298	96.379	81.690	89.492	0		
246.666	97.936	70.324	88.814	0		
