Wavelength,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,Empty_cuvette,Nothing,Pure_water
400.231,108.43,120.242,107.356,131.261,111.03,125.215,117.699,116.625,106.056,112.047,107.073,124.876,110.634,115.099
400.589,109.277,117.868,111.425,122.107,119.846,127.758,116.512,116.964,109.786,110.69,103.851,127.08,107.921,111.708
400.946,109.447,113.121,113.629,119.224,124.424,123.519,113.46,112.556,117.246,120.016,114.195,122.672,106.734,108.825
401.304,115.551,110.238,124.989,121.598,125.949,123.519,108.373,119.338,119.959,120.355,111.99,120.298,107.582,105.943
401.661,112.16,109.051,133.465,110.408,125.78,120.129,102.947,111.708,114.364,118.32,109.277,135.047,108.09,106.282
402.018,107.921,112.951,144.821,108.712,126.288,117.755,99.894,113.234,129.453,120.694,103.512,130.979,112.16,101.534
402.375,116.229,112.782,150.583,113.799,122.389,124.876,103.116,112.386,138.437,118.32,108.769,136.233,126.571,100.516
402.733,110.634,115.494,151.431,112.782,111.538,131.996,108.373,113.912,134.708,117.133,106.903,143.352,133.182,95.937
403.09,107.582,114.308,145.838,110.408,121.202,128.266,120.581,111.03,132.843,119.168,110.634,148.776,130.64,88.135
403.447,115.551,112.612,135.668,109.73,128.323,123.859,115.834,118.829,136.233,126.797,114.534,141.488,131.487,92.884
403.804,111.99,112.612,129.905,113.799,124.424,120.468,113.46,127.475,128.605,123.067,126.062,150.64,132.335,97.972
404.161,104.869,107.356,128.379,110.747,124.932,112.499,109.56,127.814,125.554,123.745,126.571,144.708,126.741,97.633
404.518,108.938,109.899,122.276,116.512,129.17,97.237,101.42,123.237,127.08,128.492,126.741,145.047,121.824,106.451
404.876,110.125,109.221,116.851,120.411,121.202,100.968,92.093,126.627,126.91,132.222,119.79,136.572,126.401,115.777
405.233,103.003,113.968,112.612,130.922,119.677,107.243,94.807,118.49,125.893,134.934,123.35,134.708,116.399,115.268
405.59,106.903,107.356,111.256,130.753,118.32,101.647,98.707,103.399,119.959,125.78,121.315,128.436,116.229,121.542
405.947,112.669,126.345,107.356,127.362,114.082,101.986,101.081,102.212,118.094,120.863,114.703,123.689,108.43,119.846
406.304,104.36,125.158,109.051,128.379,116.625,108.599,110.577,113.064,107.582,117.473,112.838,124.537,108.769,121.881
406.66,111.99,126.006,112.273,135.838,116.794,115.721,119.224,116.455,112.838,110.521,122.333,121.146,105.038,123.745
407.017,109.108,133.973,113.121,125.667,121.202,114.703,123.293,121.542,105.377,96.785,113.516,118.772,116.229,117.133
407.374,115.212,132.956,117.02,121.259,125.102,124.367,122.954,136.798,106.225,102.551,110.634,111.482,125.045,115.777
407.731,104.36,123.463,110.577,125.667,126.458,116.399,119.224,142.053,105.716,103.229,115.721,111.482,130.64,120.524
408.088,118.094,125.158,114.647,118.207,127.136,124.706,108.203,130.526,117.755,100.346,109.616,108.26,129.961,112.386
408.445,109.616,124.65,118.885,111.086,128.323,126.232,111.256,112.047,114.534,104.416,107.921,119.62,132.504,113.912
408.801,123.859,114.647,124.65,120.242,123.745,118.942,108.712,104.586,120.637,109.673,106.056,120.468,129.114,121.372
409.158,124.876,119.564,121.768,124.311,123.406,118.942,109.39,100.177,117.755,114.082,100.46,131.318,127.927,117.812
409.515,134.369,119.224,130.074,125.836,122.22,120.976,104.642,108.825,119.111,116.286,101.307,132.335,128.944,115.268
409.871,126.232,120.411,126.514,130.244,127.306,115.551,111.934,108.825,110.803,115.438,108.26,133.521,127.249,116.286
410.228,134.708,120.581,121.768,132.448,129.509,107.751,107.186,118.49,108.769,118.151,109.616,123.519,123.859,112.895
410.585,134.708,119.394,121.937,124.819,129.17,113.008,104.642,119.677,108.26,125.61,118.603,115.042,123.859,109.164
410.941,132.843,126.514,116.851,122.615,130.696,119.281,100.742,119.677,103.173,120.524,127.758,113.855,116.568,110.182
411.298,131.318,123.293,129.057,131.939,134.425,123.859,112.273,111.199,111.312,126.797,129.283,117.586,110.125,105.773
411.654,131.148,122.276,127.193,129.227,124.085,137.25,111.256,109.334,118.094,126.458,122.163,121.994,108.769,106.112
412.011,120.298,118.885,129.566,129.735,116.455,136.742,107.016,107.13,109.277,123.406,118.772,134.538,116.229,100.855
412.367,116.907,116.681,131.092,130.244,120.863,140.471,115.155,104.247,107.412,123.067,117.246,145.217,121.315,102.212
412.723,117.077,98.198,127.362,122.954,118.659,137.589,114.308,105.773,120.468,125.271,110.295,141.657,116.399,108.486
