n,plus,minus,label
0,0.215,0.050,round_1
1,0.369,0.211,round_1
2,0.531,0.366,round_1
3,0.770,0.567,round_1
4,0.851,0.742,round_1
5,1.004,0.919,round_1
6,1.140,1.038,round_1
7,1.321,1.273,round_1
8,1.464,1.442,round_1
9,1.649,1.551,round_1
10,1.808,1.750,round_1
11,1.968,1.967,round_1
12,2.101,2.104,round_1
13,2.298,2.282,round_1
14,2.472,2.470,round_1
15,2.628,2.628,round_1
0,0.030,0.150,round_2
1,0.135,0.270,round_2
2,0.343,0.452,round_2
3,0.472,0.550,round_2
4,0.643,0.730,round_2
5,0.778,0.835,round_2
6,0.930,1.020,round_2
7,1.112,1.151,round_2
8,1.253,1.281,round_2
9,1.406,1.455,round_2
10,1.535,1.585,round_2
11,1.704,1.751,round_2
12,1.850,1.919,round_2
13,2.030,2.041,round_2
14,2.179,2.189,round_2
15,2.355,2.355,round_2
