t,R1,R2,R3,R4
0.000000,27.098052,27.030918,26.655909,26.223631
1.423835,28.564702,27.917792,26.984722,26.481329
2.848695,30.108353,28.859155,27.389644,26.752806
4.270662,31.593127,29.802000,27.794301,27.009286
5.693038,32.982836,30.688591,28.167171,27.244840
7.118032,34.363517,31.576767,28.571330,27.504474
8.534946,35.617268,32.369418,28.924687,27.698480
9.958308,36.824727,33.171673,29.310576,27.914589
11.383698,37.929306,33.858517,29.579199,28.096542
12.801271,39.029939,34.569060,29.927726,28.280157
14.225255,40.035262,35.279670,30.216438,28.460165
15.651209,40.984945,35.899838,30.532595,28.652031
17.069666,41.904287,36.506372,30.807324,28.775020
18.487139,42.756787,37.051271,31.068801,28.908043
19.910346,43.600284,37.640380,31.343639,29.067596
21.335308,44.317252,38.137195,31.535648,29.150976
22.752746,45.060075,38.656628,31.816120,29.301527
24.177992,45.772945,39.134897,32.058908,29.423119
25.602214,46.433918,39.611091,32.295786,29.546743
27.020007,47.060260,40.046228,32.490856,29.646945
28.444078,47.657265,40.433405,32.679907,29.723531
29.861239,48.203002,40.829705,32.890436,29.808350
31.281781,48.746720,41.219247,33.043213,29.905098
32.706373,49.249768,41.587694,33.245682,29.994904
34.129394,49.762519,41.955368,33.429610,30.065181
35.553881,50.228759,42.268815,33.561776,30.142680
36.970770,50.698335,42.611628,33.739635,30.200921
38.396843,51.134987,42.909447,33.881959,30.276676
39.815818,51.538972,43.216667,34.048702,30.376601
41.240902,51.933426,43.518837,34.196192,30.429387
42.663241,52.323817,43.809791,34.345249,30.503231
44.079966,52.642537,44.053215,34.468934,30.584856
45.505947,52.962956,44.278640,34.561040,30.604122
46.929004,53.333783,44.556786,34.723984,30.668456
48.352695,53.623151,44.757124,34.826925,30.719515
49.768018,53.910224,44.995222,34.944599,30.771570
51.193840,54.194371,45.167479,35.017636,30.798051
52.622753,54.510409,45.423500,35.157883,30.871529
54.033854,54.772173,45.592916,35.238679,30.919740
55.459006,55.027662,45.812573,35.364404,30.964737
56.881474,55.281407,46.010748,35.458174,31.020054
58.303930,55.503244,46.195767,35.526197,31.047087
59.728086,55.741577,46.337084,35.644447,31.079516
61.151447,55.907248,46.439886,35.704128,31.091215
62.567240,56.124841,46.635483,35.819715,31.166760
63.993019,56.306688,46.761093,35.868407,31.167384
65.409629,56.454980,46.907648,35.942195,31.186883
66.834562,56.673565,47.062221,35.999953,31.220247
68.252288,56.830377,47.175396,36.077666,31.218307
69.678238,57.001439,47.346966,36.196338,31.288256
71.103250,57.146076,47.459406,36.230788,31.287471
72.520949,57.312502,47.566328,36.310393,31.321676
73.944847,57.436888,47.659515,36.359954,31.331082
75.361969,57.605638,47.811777,36.424677,31.371986
76.788504,57.724614,47.929871,36.485120,31.372992
78.205800,57.898145,48.048141,36.528388,31.403317
79.629131,58.025730,48.160277,36.620263,31.421319
81.051682,58.182729,48.249685,36.661007,31.438476
82.476111,58.240908,48.328182,36.699741,31.449906
83.892717,58.377732,48.430554,36.740981,31.480042
85.323721,58.469309,48.501114,36.781208,31.485597
86.739830,58.561623,48.590287,36.844150,31.514119
88.164944,58.672555,48.670765,36.902767,31.541046
89.580971,58.799666,48.755249,36.959096,31.543033
91.005755,58.864807,48.814508,36.986869,31.536011
92.431170,58.945263,48.865286,37.014643,31.545621
93.848315,59.030955,48.949515,37.060682,31.561232
95.281327,59.102019,49.023738,37.097858,31.597442
96.705108,59.224458,49.094587,37.143458,31.601531
98.130424,59.325414,49.172981,37.199530,31.619450
99.556549,59.400671,49.259065,37.240199,31.629183
100.973977,59.464235,49.302468,37.274603,31.642279
102.398074,59.532040,49.382736,37.283311,31.670944
103.811291,59.604207,49.446504,37.316670,31.666361
105.229311,59.694310,49.502712,37.359181,31.681198
106.648260,59.787385,49.583792,37.398875,31.696420
108.061438,59.824098,49.613203,37.423526,31.689038
109.472387,59.891978,49.676619,37.440573,31.722446
110.900804,59.971108,49.755515,37.504061,31.753900
112.315977,60.014946,49.796201,37.525211,31.707429
113.739833,60.056863,49.823352,37.543903,31.750353
115.162905,60.161955,49.904677,37.584340,31.781576
116.586678,60.196851,49.951388,37.622622,31.748293
118.004154,60.285012,49.987855,37.653146,31.789341
119.428529,60.323269,50.059361,37.672135,31.792863
120.846951,60.355779,50.072034,37.692876,31.787078
122.271436,60.372669,50.112401,37.687261,31.777240
123.696510,60.458496,50.182554,37.743194,31.816771
125.110595,60.521761,50.190102,37.750017,31.801518
126.531352,60.569337,50.270654,37.785144,31.823687
127.956192,60.640085,50.314319,37.810290,31.844985
129.382339,60.668866,50.321423,37.834443,31.859280
130.800436,60.707577,50.347997,37.833409,31.858694
132.227454,60.721523,50.369337,37.856650,31.836983
133.644898,60.731834,50.390528,37.857396,31.834507
135.069185,60.769163,50.449945,37.899606,31.862930
136.493949,60.837024,50.453317,37.907167,31.841965
137.911411,60.847086,50.495157,37.917685,31.843382
139.355171,60.862866,50.516586,37.936460,31.838849
140.793024,60.920589,50.572336,37.973096,31.852864
142.206291,60.940824,50.612535,37.996073,31.886283
143.630511,60.984367,50.644931,38.002390,31.890833
145.054386,61.022963,50.683398,38.000347,31.890611
146.471360,61.082407,50.718230,38.067055,31.894002
147.891368,61.108474,50.762149,38.046450,31.886060
149.321427,61.148856,50.795326,38.081381,31.893278
150.739843,61.201412,50.834696,38.114003,31.881542
152.165166,61.233671,50.890259,38.093956,31.903705
153.581470,61.313697,50.900316,38.135261,31.929380
155.006057,61.328523,50.911881,38.113396,31.902621
156.430103,61.391786,50.983953,38.175004,31.937786
157.846944,61.408693,51.005638,38.186763,31.944617
159.268514,61.400960,50.994197,38.173663,31.923042
160.691889,61.418226,51.026468,38.189443,31.944102
162.116294,61.476468,51.068091,38.222108,31.930572
163.543155,61.494531,51.062522,38.215940,31.922018
164.959538,61.549547,51.107970,38.268930,31.954462
166.381293,61.562477,51.111828,38.255118,31.938626
167.799010,61.576350,51.114871,38.232725,31.935788
169.222938,61.642997,51.195281,38.265541,31.950106
170.646968,61.681810,51.229093,38.286100,31.959395
172.071019,61.692128,51.240504,38.285050,31.954638
173.488282,61.731446,51.285044,38.313884,31.953850
174.912352,61.786730,51.327217,38.359425,32.004599
176.336263,61.762426,51.313532,38.328076,31.964996
177.754860,61.795623,51.339840,38.351420,31.958648
179.179018,61.811499,51.383560,38.381696,32.000858
180.601742,61.812066,51.373481,38.368168,31.976538
182.017474,61.858922,51.421712,38.410817,31.984675
183.440956,61.857532,51.428285,38.411183,31.985508
184.865379,61.886421,51.439990,38.409983,32.003211
186.294045,61.862291,51.445569,38.411152,31.992398
187.708903,61.910816,51.471972,38.445984,31.983849
