t   R1  R2  R3  R4
0                        300.1507534182897        300.15059042237857       300.150230563672         300.15003708299656
1.5                      302.0121857409152        301.65828321356224       300.90701601801464       300.47380133454385
3                        303.7487640932189        303.06032337431526       301.59642746601065       300.76652030411327
4.5                      305.36787468338133       304.36467265576636       302.2291906886321        301.03761579811675
6                        306.92264617203443       305.61554579600727       302.8311553987824        301.295959594193
7.5                      308.30521594782425       306.7232916171266        303.3506887961422        301.5201738458171
9                        309.6877857236142        307.8310374382459        303.87022219350195       301.74438809744106
10.5                     311.0703554994041        308.93878325936527       304.3897555908617        301.9686023490652
12                       312.26114586769785       309.88862050735185       304.82343114734545       302.1567830567696
13.5                     313.29117996794344       310.70609321609504       305.1851376313302        302.31475917618843
15                       314.321214068189         311.52356592483824       305.5468441153149        302.4727352956072
16.5                     315.3512481684346        312.3410386335813        305.90855059929964       302.63071141502616
18                       316.38128226868014       313.15851134232446       306.2702570832844        302.788687534445
19.5                     317.4113163689258        313.9759840510676        306.6319635672691        302.94666365386377
21                       318.44135046917137       314.79345675981074       306.99367005125384       303.1046397732826
22.5                     319.4480975019637        315.5919350461127        307.3456275707654        303.258476090471
24                       320.21350583569483       316.19356204529817       307.59655036755436       303.3694090027253
25.5                     320.978914169426         316.79518904448355       307.84747316434334       303.4803419149797
27                       321.74432250315715       317.3968160436689        308.09839596113244       303.59127482723414
28.5                     322.5097308368883        317.9984430428544        308.3493187579214        303.7022077394886
30                       323.27513917061947       318.60007004203976       308.60024155471046       303.8131406517429
31.5                     324.04054750435057       319.20169704122515       308.8511643514994        303.9240735639973
33                       324.8059558380818        319.80332404041064       309.10208714828843       304.03500647625174
34.5                     325.447070623331         320.30454173749644       309.30443109626316       304.1250586247503
36                       326.01581194997044       320.747293258676         309.47848862594094       304.2029523538467
37.5                     326.58455327660977       321.1900447798557        309.6525461556187        304.28084608294307
39                       327.15329460324926       321.63279630103546       309.82660368529645       304.35873981203946
40.5                     327.7220359298887        322.075547822215         310.00066121497423       304.4366335411359
42                       328.2907772565281        322.51829934339474       310.17471874465207       304.5145272702323
43.5                     328.8595185831675        322.9610508645745        310.34877627432974       304.5924209993287
45                       329.4187103070538        323.3961774234217        310.5193977371459        304.6688161443617
46.5                     329.92483184720146       323.78892963828366       310.67092388213507       304.7368831805037
48                       330.41673454391326       324.1703286954894        310.8173339088934        304.8027189058023
49.5                     330.894418397189         324.54037459503917       310.9586278174209        304.8663233202575
51                       331.3578834070289        324.89906733693266       311.0948056077176        304.92769642386924
52.5                     331.80712957343286       325.24640692117003       311.2258672797834        304.9868382166377
54                       332.2421568964009        325.5823933477513        311.3518128336185        305.0437486985626
55.5                     332.66296537593297       325.9070266166763        311.47264226922266       305.0984278696441
57                       333.0695550120291        326.2203067279452        311.5883555865961        305.1508757298822
58.5                     333.4619258046895        326.52223368155796       311.6989527857385        305.20109227927696
60                       333.8400777539138        326.8128074775146        311.8044338666502        305.24907751782825
61.5                     334.2040108597022        327.092028115815         311.9047988293311        305.2948314455361
63                       334.55372512205474       327.3598955964593        312.0000476737811        305.3383540624006
64.5                     334.8892205409713        327.61640991944745       312.09018040000035       305.3796453684217
66                       335.21049711645196       327.8615710847794        312.17519700798863       305.4187053635994
67.5                     335.5209763001179        328.09829971106734       312.25691120169506       305.4562817789766
69                       335.8278546670928        328.33273893683133       312.33913786970083       305.49394736881686
70.5                     336.12222215636973       328.55728295819273       312.4171538083416        305.5297549101432
72                       336.4040787679487        328.7719317751516        312.4909590176178        305.56370440295575
73.5                     336.67342450182974       328.9766853877078        312.5605534975291        305.5957958472545
75                       336.93025935801285       329.17154379586134       312.6259372480757        305.6260292430395
76.5                     337.17458333649796       329.35650699961246       312.6871102692574        305.6544045903106
78                       337.4063964372851        329.53157499896093       312.7440725610744        305.6809218890679
79.5                     337.62569866037427       329.69674779390675       312.7968241235266        305.70558113931145
81                       337.8324900057655        329.8520253844501        312.84536495661405       305.7283823410412
82.5                     338.0267704734588        329.99740777059077       312.8896950603367        305.74932549425716
84                       338.20854006345405       330.13289495232885       312.9298144346945        305.7684105989592
85.5                     338.3777987757515        330.2584869296644        312.9657230796877        305.7856376551475
87                       338.53454661035096       330.37418370259735       312.99742099531596       305.80100666282203
88.5                     338.6787835672523        330.47998527112765       313.0249081815795        305.8145176219827
90                       338.8272181807811        330.58942395572996       313.0547121332245        305.82898439657106
91.5                     338.99810520933295       330.71728437102024       313.0939644057306        305.84748124824335
93                       339.1627008867931        330.8402868057362        313.1314357207752        305.86516747431216
94.5                     339.3210052131618        330.9584312598777        313.16712607835814       305.8820430747775
96                       339.4730181884391        331.0717177334449        313.2010354784797        305.8981080496394
97.5                     339.6187398126248        331.1801462264378        313.23316392113964       305.9133623988979
99                       339.7581700857189        331.28371673885647       313.26351140633807       305.92780612255285
