t   Th  Tc
0                        293.1500014519937        293.1500000001038
0.6                      293.2701050523113        293.14999982330994
1.2                      293.3817150851817        293.1499996231627
2.4                      293.5576741123406        293.1499998531549
4.8                      293.7848816077626        293.14999988443225
9.6                      294.0416100956064        293.1500040420629
19.2                     294.42834753594065       293.15019525167224
38.4                     294.98570937689317       293.15467222755245
76.8                     295.77395877090953       293.19922178774436
136.8                    296.6805189706547        293.35922155795805
196.8                    297.4180692707998        293.5882769388972
256.8                    298.0649768431461        293.8587309586301
316.8                    298.6421790641433        294.1596719968013
376.8                    299.1779367173526        294.477681363354
436.8                    299.6816663989104        294.8059540875711
496.8                    300.1598714374016        295.1389221427048
556.8                    300.61824233062595       295.47252974045693
616.8                    301.06021075482147       295.80552336686924
