t   Th  Tc
0                        293.15000099561036       293.15000000006984
0.6                      293.223252017739         293.14999996138744
1.2                      293.2870807734445        293.14999995428315
2.4                      293.38159028525604       293.1500000220421
4.8                      293.48935287700675       293.15000077870616
9.6                      293.63529132561575       293.1500339146955
19.2                     293.8442444388813        293.15106193696806
38.4                     294.13006509040594       293.1645836959582
76.8                     294.54227115215446       293.2444545451043
136.8                    295.03132450365655       293.45116649002813
196.8                    295.4529758099499        293.6970215080381
256.8                    295.82964171462265       293.9663232215013
316.8                    296.1818337446457        294.2459902890559
376.8                    296.5177866107497        294.52811184996057
436.8                    296.84131276419555       294.8086727434656
496.8                    297.15485028539297       295.0860180889125
556.8                    297.46085905219945       295.3595211520855
616.8                    297.76505741067734       295.6302497750343
